Personenname,Sprache,Sprachnutzung,Beleg,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Dillmont, Thérèse de",Englisch,Publikation,in engl. u. franz. Ausg.,,,,,,,,,
"Dobbert, Frl. Friederike",Englisch,Übersetzung,Übersetzungen aus dem Englischen und Französischen,,,,,,,,,
"Dobbert, Frl. Friederike",Französisch,Übersetzung,Übersetzungen aus dem Englischen und Französischen,,,,,,,,,
"Dönitz, Frau Professor Martha",Japanisch,Übersetzung,übersetzt japanische Unterhaltungslitteratur,,,,,,,,,
"Döring, Frl. Emilie",Französisch,Lehrerinnenexamen,"Lehrerinnenexamen im Französischen, Englischen und Italienischen",,,,,,,,,
"Döring, Frl. Emilie",Englisch,Lehrerinnenexamen,"Lehrerinnenexamen im Französischen, Englischen und Italienischen",,,,,,,,,
"Döring, Frl. Emilie",Italienisch,Lehrerinnenexamen,"Lehrerinnenexamen im Französischen, Englischen und Italienischen",,,,,,,,,
"Domarus, Frau E. v.",Russisch,Übersetzung,beschäftigt sich mit Übersetzungen aus dem Russischen,,,,,,,,,
"Druskowitz, Dr. Helene",Englisch,Übersetzung,Byrons Don Juan. Übers.,,,,,,,,,
"Düring, Frl. Christine v.",Französisch,Vervollkommnung,zur Vervollkommnung ihrer Sprachkenntnisse nach Paris,,,,,,,,,
"Düring, Frl. Christine v.",Englisch,Vervollkommnung,zwei Jahre später nach England,,,,,,,,,
"Düring, Frl. Christine v.",Portugiesisch,Publikation und Übersetzung,"in portugiesischer Sprache heraus, welches sie 1890 ins Deutsche übersetzte",,,,,,,,,
Eberhardt-Bürck Frau Adelheid Emilie Bab,Französisch,Ausbildung,ihre Ausbildung erhielt sie zumeist im elterlichen Hause durch den Vater und einen französischen Lehrer aus der Schweiz,,,,,,,,,
Ebersold Frl. Elise,Fremde Sprachen (unspezifiziert),Übersetzungsarbeiten,Sie schreibt Gedichte Sprüche Rätsel Erzählungen und Übersetzungen aus fremden Sprachen,,,,,,,,,
Egger-Schmitzhausen Frau Marie Edle v.,Deutsch,Literarische Werke,in der deutschen welche sie sich nur mit grosser Mühe aber in dem Grade aneignete dass sie sich in ihren Werken als Deutsche dokumentiert ist sie durchaus Autodidaktin,,,,,,,,,
Egger-Schmitzhausen Frau Marie Edle v.,Italienisch,Übersetzungen und Kritiken,Ihre Werke sind fast sämtlich ins Italienische übersetzt worden Sie ist auch als Kritikerin italienischer Kunst und Litteratur in hervorragenden deutschen Blättern thätig,,,,,,,,,
Egger-Schmitzhausen Frau Marie Edle v.,5 Sprachen (unspezifiziert),Allgemeine Kommunikation,Sie spricht 5 Sprachen,,,,,,,,,
Eckert Frau Pastor Elise,Englisch,Übersetzungsarbeiten,übersetzt aus dem Englischen,,,,,,,,,
Elisabeth Königin von Rumänien,Rumänisch,Übersetzungen ins Deutsche,Mit den Poesieen ihres Landes Gedichten und Volkssagen machte sie durch Übersetzungen ins Deutsche uns vertraut,,,,,,,,,
Elisabeth Königin von Rumänien,Französisch,Eigene literarische Werke,Auch französisch hat sie geschrieben und gedichtet,,,,,,,,,
Eminger Therese,Englisch,Übersetzungsarbeiten,Aus dem Englischen übersetzte Werke: Lady Baby Herkulesquellen Orthodox Recha Dorfkönigin von Dora Gerard,,,,,,,,,
Ettlinger Frl. Emma,Französisch,Übersetzungsarbeiten,übersetzt aus dem Französischen Englischen und Polnischen,,,,,,,,,
Ettlinger Frl. Emma,Englisch,Übersetzungsarbeiten,übersetzt aus dem Französischen Englischen und Polnischen,,,,,,,,,
Ettlinger Frl. Emma,Polnisch,Übersetzungsarbeiten,übersetzt aus dem Französischen Englischen und Polnischen,,,,,,,,,
Ettlinger Frl. Rudolfine,Französisch,Übersetzungsarbeiten,übersetzt aus dem Französischen Englischen und Polnischen,,,,,,,,,
Ettlinger Frl. Rudolfine,Englisch,Übersetzungsarbeiten,übersetzt aus dem Französischen Englischen und Polnischen  ,,,,,,,,,
Ettlinger Frl. Rudolfine,Polnisch,Übersetzungsarbeiten,übersetzt aus dem Französischen Englischen und Polnischen,,,,,,,,,
Erbach-Schönberg Marie Gräfin zu,Englisch,Übersetzungsarbeiten,Eine Reise nach Sibirien von Miss Kate Marsden Autoris Übers v E-Sch,,,,,,,,,
Fehr Frl. Laura,Dänisch,Übersetzungsarbeiten,übersetzt aus dem Dänischen Schwedischen und Norwegischen,,,,,,,,,
Fehr Frl. Laura,Schwedisch,Übersetzungsarbeiten,übersetzt aus dem Dänischen Schwedischen und Norwegischen,,,,,,,,,
Fehr Frl. Laura,Norwegisch,Übersetzungsarbeiten,übersetzt aus dem Dänischen Schwedischen und Norwegischen,,,,,,,,,
Feibelsohn Frl. Laura,Französisch,Übersetzungsarbeiten,übersetzt aus dem Französischen,,,,,,,,,
Feilitzsch Frl. Emmy v.,Französisch,Übersetzungsarbeiten,übersetzt französische und englische Werke,,,,,,,,,
Feilitzsch Frl. Emmy v.,Englisch,Übersetzungsarbeiten,übersetzt französische und englische Werke,,,,,,,,,
Feilmann Frl. Johanna,Moderne Sprachen (unspezifiziert),Unterrichtstätigkeit,bildete sich soweit in den modernen Sprachen fort dass sie Studentinnen für das Oxforder und Cambridger Universitätsexamen vorbereitete,,,,,,,,,
Fastenrath Frau Luise,Spanisch,Übersetzungsarbeiten,übersetzt aus dem Spanischen Catalanischen und Französischen,,,,,,,,,
Fastenrath Frau Luise,Katalanisch,Übersetzungsarbeiten,übersetzt aus dem Spanischen Catalanischen und Französischen,,,,,,,,,
Fastenrath Frau Luise,Französisch,Übersetzungsarbeiten,übersetzt aus dem Spanischen Catalanischen und Französischen,,,,,,,,,
Fastlinger Frl. Sophie,Französisch,Unterricht und Übersetzung,sich die französische englische und italienische Sprache zu eigen zu machen,,,,,,,,,
Fastlinger Frl. Sophie,Englisch,Unterricht und Übersetzung,sich die französische englische und italienische Sprache zu eigen zu machen,,,,,,,,,
Fastlinger Frl. Sophie,Italienisch,Unterricht und Übersetzung,in letzterer 1890 die Staatsprüfung für Lehrerinnen zu bestehen,,,,,,,,,
Fischer Frau Marie,Englisch,Schreiben für internationale Blätter,"schreibt für deutsche, englische, amerikanische und französische Blätter Aufsätze und Abhandlungen",,,,,,,,,
Fischer Frau Marie,Französisch,Schreiben für internationale Blätter,"schreibt für deutsche, englische, amerikanische und französische Blätter Aufsätze und Abhandlungen",,,,,,,,,
Flachs-Fokschaneanu Frau Louise,Russisch,Studium und Übersetzung,Während eines mehrjährigen Aufenthalts in Russland studierte sie die russische Sprache und Litteratur,,,,,,,,,
Foster Anna,Englisch,Übersetzung,Aus d. Engl.,,,,,,,,,
Fränckel Frau Anna,Holländisch,Übersetzung,Sie übersetzte auch manches aus dem Holländischen,,,,,,,,,
Frankenstein Frl. Hermine,Englisch,Bearbeitung von Romanen und Novellen,Sie hat über hundert Romane und Novellen aus dem Englischen bearbeitet,,,,,,,,,
Franul von Weissenthurn Max.,Italienisch,Übersetzung von Romanen und Novellen,"zahllose aus dem Italienischen, Französischen und Englischen übertragene Romane und Novellen",,,,,,,,,
Franul von Weissenthurn Max.,Französisch,Übersetzung von Romanen und Novellen,"zahllose aus dem Italienischen, Französischen und Englischen übertragene Romane und Novellen",,,,,,,,,
Franul von Weissenthurn Max.,Englisch,Übersetzung von Romanen und Novellen,"zahllose aus dem Italienischen, Französischen und Englischen übertragene Romane und Novellen",,,,,,,,,
Freddi Frau Gräfin Martha,Englisch,Übersetzung,"übersetzt aus dem Englischen, Französischen und Italienischen",,,,,,,,,
Freddi Frau Gräfin Martha,Französisch,Übersetzung,"übersetzt aus dem Englischen, Französischen und Italienischen",,,,,,,,,
Freddi Frau Gräfin Martha,Italienisch,Übersetzung,"übersetzt aus dem Englischen, Französischen und Italienischen",,,,,,,,,
Freiligrath Frl. Gisberte,Englisch,Metrische Übertragungen,"Metrische Übertragungen aus dem Englischen nach Shelley, Swinburne und anderen",,,,,,,,,
Freiligrath-Kroeker Frau Käthe,Englisch,Schreiben und Übersetzung,"schreibt meistens Kinderschriften, Dramen, Märchen in deutscher und englischer Sprache. Sie macht Übersetzungen von Brentano, sowie überhaupt Übersetzungen aus dem Deutschen ins Englische",,,,,,,,,
Freudenthal Frau Emma,Englisch,Übersetzung,"Sie übersetzt hauptsächlich aus dem Englischen, jedoch auch aus dem Französischen",,,,,,,,,
Freudenthal Frau Emma,Französisch,Übersetzung,"Sie übersetzt hauptsächlich aus dem Englischen, jedoch auch aus dem Französischen",,,,,,,,,
Frick Frau Ida,Holländisch,Übersetzung,Sie übersetzte auch manches aus dem Holländischen,,,,,,,,,
Friedeberg Harriet,Englisch,Bearbeitung,Aus dem Engl. umgearb.,,,,,,,,,
Friedländer Frl. Jeanne,Englisch,Übersetzung,"Sie übersetzt hauptsächlich aus dem Englischen, jedoch auch aus dem Französischen",,,,,,,,,
Friedländer Frl. Jeanne,Französisch,Übersetzung,"Sie übersetzt hauptsächlich aus dem Englischen, jedoch auch aus dem Französischen",,,,,,,,,
Funk Frl. E.,Dänisch,Sprachlehrbücher,Praktischer Lehrgang zur schnellen und leichten Erlernung der dänischen Sprache,,,,,,,,,
Funk Frl. E.,Schwedisch,Sprachlehrbücher,Praktischer Lehrgang zur schnellen und leichten Erlernung der schwedischen Sprache,,,,,,,,,
Funk Frl. E.,Norwegisch,Sprachlehrbücher,mit einem Anhang norwegischer Redewendungen,,,,,,,,,
Funk Frl. E.,Französisch,Übersetzung,Une trappe pour attraper un rayon de soleil. Historiette traduite de l'Anglais,,,,,,,,,
Funk Frl. E.,Englisch,Übersetzung,Une trappe pour attraper un rayon de soleil. Historiette traduite de l'Anglais,,,,,,,,,
Garbald-Gredig Frau Johanna,Romanisch,Muttersprache und Literatur,Ihr Vater pflegte mit grosser Vorliebe die dort viel gebrauchte romanische Sprache,,,,,,,,,
Garbald-Gredig Frau Johanna,Deutsch,Erlernte Sprache und Literatur,unterrichtete jedoch seine Tochter auch in den Anfängen der deutschen Sprache,,,,,,,,,
Gilsa S. v.,Englisch,Übersetzung,Auswahl englischer Gedichte. Ins Deutsche übertr.,,,,,,,,,
Giorgi Antonia de,Mehrere Sprachen,Kindheitserwerb,schon in ihrer Kindheit lernte sie mehrere Sprachen gleichzeitig,,,,,,,,,
Glaser Marie von,Französisch,Schriftstellerei,Sie schreibt und veröffentlicht dieselben in deutscher französischer und englischer Sprache,,,,,,,,,
Glaser Marie von,Englisch,Schriftstellerei,Sie schreibt und veröffentlicht dieselben in deutscher französischer und englischer Sprache,,,,,,,,,
Glinzer Johanna,Englisch,Lehrertätigkeit,Sie wirkte als Lehrerin an englischen und schottischen Privatschulen,,,,,,,,,
Glinzer Johanna,Italienisch,Übersetzung,Die Ermüdung. Von Mosso. Übers. aus dem Italienischen,,,,,,,,,
Glümer Claire von,Französisch,Übersetzung,G. Sands Geschichte meines Lebens (12 Bde.) F. Laufreys Geschichte Napoleons I. (5 Bde.),,,,,,,,,
Glümer Claire von,Englisch,Übersetzung,Swifts Briefe an Stella (1 Bd.) Turgenjew: Väter und Söhne Feste Liebe Faust,,,,,,,,,
Godin A.,Französisch,Übersetzung,Geschichten für kleine Leute. Französischen Texten frei nacherzählt,,,,,,,,,
Godin A.,Polnisch,Übersetzung,Polnische Volksmärchen. Deutsch nach der Orig.-Sammlg. v. Glinski,,,,,,,,,
Goetz Margarete,Französisch,Publikation,Dasselbe. Franz. Ausg. Ebda. 1893,,,,,,,,,
Goetzenberger Marie Amélie,Englisch,Übersetzung,Sie hat Übersetzungen aus dem Englischen und Französischen Operntexte u.m.a. geschrieben,,,,,,,,,
Goetzenberger Marie Amélie,Französisch,Übersetzung,Sie hat Übersetzungen aus dem Englischen und Französischen Operntexte u.m.a. geschrieben,,,,,,,,,
Gogarten Arete,Englisch,Übersetzung,Ihre ersten litterarischen Versuche hatte sie als Übersetzerin gemacht sie wurde längere Zeit Hilfsarbeiterin einer englischen Schriftstellerin,,,,,,,,,
Gogarten Arete,Französisch,Übersetzung,Übersetzungen aus dem Französischen und Englischen,,,,,,,,,
Goldschmidt Olga,Französisch,Übersetzung,Erckmann-Chatrians Waterloo. Übers. (Meyers Volksbücher),,,,,,,,,
Goldschmidt Thora,Französisch,Unterricht,Bildertafeln für den Unterricht im Französischen,,,,,,,,,
Goldstein Frida,Englisch,Übersetzung,Übersetzungen aus dem Englischen und Norwegischen,,,,,,,,,
Goldstein Frida,Norwegisch,Übersetzung,Übersetzungen aus dem Englischen und Norwegischen,,,,,,,,,
Gordon Emy,Englisch,Schriftstellerei,New fairy tales. 1888,,,,,,,,,
Gotthelf Henriette,Französisch,Journalismus,für französische Zeitungen in französischer Sprache,,,,,,,,,
Gouraud Julie,Französisch,Übersetzung,Florence Raymond od. der Pachthof in Louvicamp. A. d. Franz.,,,,,,,,,
Grabi Magdalene,Englisch,Übersetzung,Die Heinzelmännchen. Übers. aus dem Engl. u. Frz.,,,,,,,,,
Grabi Magdalene,Französisch,Übersetzung,Die Heinzelmännchen. Übers. aus dem Engl. u. Frz.,,,,,,,,,
Gradenwitz Clara,Dänisch,Übersetzung,Ihre Übersetzungen aus dem Dänischen und Norwegischen sind nur als Zeitungsfeuilletons erschienen,,,,,,,,,
Gradenwitz Clara,Norwegisch,Übersetzung,Ihre Übersetzungen aus dem Dänischen und Norwegischen sind nur als Zeitungsfeuilletons erschienen,,,,,,,,,
Grail Elise,Ungarisch,Übersetzung,Blüten der ungarischen Dichtkunst. Eine auch zum Vortrag geeignete Auswahl der schönsten ungar. Gedichte,,,,,,,,,
Grasshoff Marie,Französisch,Übersetzung,liefert sie Übersetzungen aus der französischen englischen und nordischen Sprache,,,,,,,,,
Grasshoff Marie,Englisch,Übersetzung,liefert sie Übersetzungen aus der französischen englischen und nordischen Sprache,,,,,,,,,
Grasshoff Marie,Nordische Sprachen,Übersetzung,liefert sie Übersetzungen aus der französischen englischen und nordischen Sprache,,,,,,,,,
Greif M.,Englisch,Übersetzung,Anderer Leute Kinder od. Bob u. Teddi in d. Fremde. Von J. Habberton Deutsch v. M. G.,,,,,,,,,
Grimm Charlotte,Französisch,Sprachunterricht,Kleiner Elementar-Kursus der französ. Sprache für Mädchenschulen,,,,,,,,,
Gröben Gräfin L.,Englisch,Übersetzung,Sein letztes Wort. Bibelstudien in der Offenbarung. Übersetzg. des Werkes der Frau M. Baxter,,,,,,,,,
Grün von,Englisch,Übersetzung,Reden über die Korintherbriefe. Übersetzg. des Werkes von Robertson,,,,,,,,,
Grünwald-Zerkowitz Sidonie,Ungarisch,Lehrertätigkeit,In Budapest erlernte sie die ungarische Sprache in welcher sie nach 1½ jährigem Aufenthalte daselbst die Prüfung als Lehrerin dieser Sprache ablegte,,,,,,,,,
Gumpert Thekla von,Englisch,Übersetzung,Gott in der Natur. Hymnen für Kinder. Nach dem Engl.,,,,,,,,,
Gumpert Thekla von,Französisch,Übersetzung,Robinsons Enkelin. Nach d. Französ. d. Gräfin Germanie,,,,,,,,,
Gilsa S. v.,Englisch,Übersetzung,Auswahl englischer Gedichte. Ins Deutsche übertr.,,,,,,,,,
Giorgi Antonia de,Mehrere Sprachen,Kindheitserwerb,schon in ihrer Kindheit lernte sie mehrere Sprachen gleichzeitig,,,,,,,,,
Glaser Marie von,Französisch,Schriftstellerei,Sie schreibt und veröffentlicht dieselben in deutscher französischer und englischer Sprache,,,,,,,,,
Glaser Marie von,Englisch,Schriftstellerei,Sie schreibt und veröffentlicht dieselben in deutscher französischer und englischer Sprache,,,,,,,,,
Glinzer Johanna,Englisch,Lehrertätigkeit,Sie wirkte als Lehrerin an englischen und schottischen Privatschulen,,,,,,,,,
Glinzer Johanna,Italienisch,Übersetzung,Die Ermüdung. Von Mosso. Übers. aus dem Italienischen,,,,,,,,,
Glümer Claire von,Französisch,Übersetzung,G. Sands Geschichte meines Lebens (12 Bde.) F. Laufreys Geschichte Napoleons I. (5 Bde.),,,,,,,,,
Glümer Claire von,Englisch,Übersetzung,Swifts Briefe an Stella (1 Bd.) Turgenjew: Väter und Söhne Feste Liebe Faust,,,,,,,,,
Godin A.,Französisch,Übersetzung,Geschichten für kleine Leute. Französischen Texten frei nacherzählt,,,,,,,,,
Godin A.,Polnisch,Übersetzung,Polnische Volksmärchen. Deutsch nach der Orig.-Sammlg. v. Glinski,,,,,,,,,
Goetz Margarete,Französisch,Publikation,Dasselbe. Franz. Ausg. Ebda. 1893,,,,,,,,,
Goetzenberger Marie Amélie,Englisch,Übersetzung,Sie hat Übersetzungen aus dem Englischen und Französischen Operntexte u.m.a. geschrieben,,,,,,,,,
Goetzenberger Marie Amélie,Französisch,Übersetzung,Sie hat Übersetzungen aus dem Englischen und Französischen Operntexte u.m.a. geschrieben,,,,,,,,,
Gogarten Arete,Englisch,Übersetzung,Ihre ersten litterarischen Versuche hatte sie als Übersetzerin gemacht sie wurde längere Zeit Hilfsarbeiterin einer englischen Schriftstellerin,,,,,,,,,
Gogarten Arete,Französisch,Übersetzung,Übersetzungen aus dem Französischen und Englischen,,,,,,,,,
Goldschmidt Olga,Französisch,Übersetzung,Erckmann-Chatrians Waterloo. Übers. (Meyers Volksbücher),,,,,,,,,
Goldschmidt Thora,Französisch,Unterricht,Bildertafeln für den Unterricht im Französischen,,,,,,,,,
Goldstein Frida,Englisch,Übersetzung,Übersetzungen aus dem Englischen und Norwegischen,,,,,,,,,
Goldstein Frida,Norwegisch,Übersetzung,Übersetzungen aus dem Englischen und Norwegischen,,,,,,,,,
Gordon Emy,Englisch,Schriftstellerei,New fairy tales. 1888,,,,,,,,,
Gotthelf Henriette,Französisch,Journalismus,für französische Zeitungen in französischer Sprache,,,,,,,,,
Gouraud Julie,Französisch,Übersetzung,Florence Raymond od. der Pachthof in Louvicamp. A. d. Franz.,,,,,,,,,
Grabi Magdalene,Englisch,Übersetzung,Die Heinzelmännchen. Übers. aus dem Engl. u. Frz.,,,,,,,,,
Grabi Magdalene,Französisch,Übersetzung,Die Heinzelmännchen. Übers. aus dem Engl. u. Frz.,,,,,,,,,
Gradenwitz Clara,Dänisch,Übersetzung,Ihre Übersetzungen aus dem Dänischen und Norwegischen sind nur als Zeitungsfeuilletons erschienen,,,,,,,,,
Gradenwitz Clara,Norwegisch,Übersetzung,Ihre Übersetzungen aus dem Dänischen und Norwegischen sind nur als Zeitungsfeuilletons erschienen,,,,,,,,,
Grail Elise,Ungarisch,Übersetzung,Blüten der ungarischen Dichtkunst. Eine auch zum Vortrag geeignete Auswahl der schönsten ungar. Gedichte,,,,,,,,,
Grasshoff Marie,Französisch,Übersetzung,liefert sie Übersetzungen aus der französischen englischen und nordischen Sprache,,,,,,,,,
Grasshoff Marie,Englisch,Übersetzung,liefert sie Übersetzungen aus der französischen englischen und nordischen Sprache,,,,,,,,,
Grasshoff Marie,Nordische Sprachen,Übersetzung,liefert sie Übersetzungen aus der französischen englischen und nordischen Sprache,,,,,,,,,
Greif M.,Englisch,Übersetzung,Anderer Leute Kinder od. Bob u. Teddi in d. Fremde. Von J. Habberton Deutsch v. M. G.,,,,,,,,,
Grimm Charlotte,Französisch,Sprachunterricht,Kleiner Elementar-Kursus der französ. Sprache für Mädchenschulen,,,,,,,,,
Gröben Gräfin L.,Englisch,Übersetzung,Sein letztes Wort. Bibelstudien in der Offenbarung. Übersetzg. des Werkes der Frau M. Baxter,,,,,,,,,
Grün von,Englisch,Übersetzung,Reden über die Korintherbriefe. Übersetzg. des Werkes von Robertson,,,,,,,,,
Grünwald-Zerkowitz Sidonie,Ungarisch,Lehrertätigkeit,In Budapest erlernte sie die ungarische Sprache in welcher sie nach 1½ jährigem Aufenthalte daselbst die Prüfung als Lehrerin dieser Sprache ablegte,,,,,,,,,
Gumpert Thekla von,Englisch,Übersetzung,Gott in der Natur. Hymnen für Kinder. Nach dem Engl.,,,,,,,,,
Gumpert Thekla von,Französisch,Übersetzung,Robinsons Enkelin. Nach d. Französ. d. Gräfin Germanie,,,,,,,,,
Hellinghaus Ida,Englisch,Übersetzungen,Sie macht Übersetzungen aus dem Englischen und Französischen.,,,,,,,,,
Hellinghaus Ida,Französisch,Übersetzungen,Sie macht Übersetzungen aus dem Englischen und Französischen.,,,,,,,,,
Herf-Wachter Antonie,Französisch,Übersetzung ihrer Werke,sind ins Französische und Holländische übersetzt worden,,,,,,,,,
Herf-Wachter Antonie,Holländisch,Übersetzung ihrer Werke,sind ins Französische und Holländische übersetzt worden,,,,,,,,,
Herzfeld Marie,Englisch,Übersetzungen,"ist sie als Übersetzerin aus dem Englischen, Französischen, Dänischen, Schwedischen und Norwegischen und als Essayistin thätig.",,,,,,,,,
Herzfeld Marie,Französisch,Übersetzungen,"ist sie als Übersetzerin aus dem Englischen, Französischen, Dänischen, Schwedischen und Norwegischen und als Essayistin thätig.",,,,,,,,,
Herzfeld Marie,Dänisch,Übersetzungen,"ist sie als Übersetzerin aus dem Englischen, Französischen, Dänischen, Schwedischen und Norwegischen und als Essayistin thätig.",,,,,,,,,
Herzfeld Marie,Schwedisch,Übersetzungen,"ist sie als Übersetzerin aus dem Englischen, Französischen, Dänischen, Schwedischen und Norwegischen und als Essayistin thätig.",,,,,,,,,
Herzfeld Marie,Norwegisch,Übersetzungen,"ist sie als Übersetzerin aus dem Englischen, Französischen, Dänischen, Schwedischen und Norwegischen und als Essayistin thätig.",,,,,,,,,
Herwegh Emma,Französisch,Übersetzungen,Übers. a. d. Franz.,,,,,,,,,
Héyret Marie,Französisch,Erziehung und Bildung,erhielt ihre erste Erziehung zu Paris,,,,,,,,,
Hillebrand Clara,Polnisch,Übersetzungen,"kam ihr als litterarische Neuheit des polnischen grössten Schriftstellers der Neuzeit – Henryk Sienkiewicz's – geschichtlicher Roman »Mit Feuer und Schwert« in die Hand, welches Werk sie übersetzte.",,,,,,,,,
Hirsch Jenny,Französisch,Übersetzungen,"übersetzte viel aus dem Französischen, Englischen und Schwedischen, Sprachen, die sie alle durch Selbstunterricht erlernte.",,,,,,,,,
Hirsch Jenny,Englisch,Übersetzungen,"übersetzte viel aus dem Französischen, Englischen und Schwedischen, Sprachen, die sie alle durch Selbstunterricht erlernte.",,,,,,,,,
Hirsch Jenny,Schwedisch,Übersetzungen,"übersetzte viel aus dem Französischen, Englischen und Schwedischen, Sprachen, die sie alle durch Selbstunterricht erlernte.",,,,,,,,,
Hirsch Marie,Spanisch,Übersetzungen,"Von einer Freundin wurde sie veranlasst, spanisch zu lernen; ihre erste Übersetzung aus dieser Sprache",,,,,,,,,
Hitz Luise,Latein,Studienwunsch (unerfüllt),"Ihr Sehnen, die alten Sprachen zu studieren, blieb ungestillt.",,,,,,,,,
Hitz Luise,Griechisch,Studienwunsch (unerfüllt),"Ihr Sehnen, die alten Sprachen zu studieren, blieb ungestillt.",,,,,,,,,
Hobe Marie von,Türkisch,Kommunikation und Übersetzung,M. v. H. selbst erlernte bald die türkische Sprache,,,,,,,,,
Hoffinger Josefa Edle von,Italienisch,Übersetzungen,Dantes göttliche Komödie. Übers.,,,,,,,,,
"Hoffmann, Frl. Maria",Französisch,Übersetzung,hat nachstehende Werke übersetzt: Der gottselige Dupont. Übers. d. Janvier [...] Die beiden Prosper. Übers. d. De Stolz,,,,,,,,,
"Hoffmann, Minna",Französisch,Studium/Erziehung,"vollendete sie ihre Studien in einer französischen Hochschule für Mädchen am Genfer See, weilte dann [...] nach Paris zu einer Familie",,,,,,,,,
"Hoffmann, Minna",Italienisch,Reisen,"neben grösseren Reisen in Frankreich, Italien und der Schweiz",,,,,,,,,
"Hoiningen-Huene, Freifrau Christine v.",Französisch,Vorträge,"hielt Vorträge in verschiedenen Städten Deutschlands, meist aber in Berlin in deutscher, französischer und italienischer Sprache",,,,,,,,,
"Hoiningen-Huene, Freifrau Christine v.",Italienisch,Vorträge,"hielt Vorträge in verschiedenen Städten Deutschlands, meist aber in Berlin in deutscher, französischer und italienischer Sprache",,,,,,,,,
"Hofmann, Frau Ida",Französisch,Übersetzung,verschiedene Romane aus dem Französischen übersetzt,,,,,,,,,
"Hohenhausen, Elise Felicitas, Freiin von",Englisch,Übersetzung,Die goldene Legende von H. W. Longfellow. Übers. v. E. v. H. [...] Nachtgedanken v. E. Young. Übertr. v. E. v. H.,,,,,,,,,
"Hohenhausen, Elise Philippine Amalie, Freifrau v.",Französisch,Übersetzung,Frei nach d. Franz. Übersetzg. d. Werke v. Alfr. v. Driou,,,,,,,,,
"Hörschelmann, Emilie v.",Französisch,Vorträge,"hielt Vorträge in verschiedenen Städten Deutschlands, meist aber in Berlin in deutscher, französischer und italienischer Sprache",,,,,,,,,
"Hörschelmann, Emilie v.",Italienisch,Vorträge,"hielt Vorträge in verschiedenen Städten Deutschlands, meist aber in Berlin in deutscher, französischer und italienischer Sprache",,,,,,,,,
"Hohrath, Ottilie",Englisch,Übersetzung,Übersetzungen aus dem Englischen und Französischen brachten von ihr die »Post« und andere Blätter,,,,,,,,,
"Hohrath, Ottilie",Französisch,Übersetzung,Übersetzungen aus dem Englischen und Französischen brachten von ihr die »Post« und andere Blätter,,,,,,,,,
"Horvat-Petheö, Marie",Französisch,Übersetzung,"auch Übersetzungen aus dem Französischen, Kroatischen und Russischen",,,,,,,,,
"Horvat-Petheö, Marie",Kroatisch,Übersetzung,"auch Übersetzungen aus dem Französischen, Kroatischen und Russischen",,,,,,,,,
"Horvat-Petheö, Marie",Russisch,Übersetzung,"auch Übersetzungen aus dem Französischen, Kroatischen und Russischen",,,,,,,,,
"Hoyer, Renata",Englisch,Übersetzung,übersetzt aus dem Englischen,,,,,,,,,
"Holzknecht, Pauline",Unspezifiziert,Bearbeitung,Bearbeitungen aus fremden Sprachen für verschiedene Zeitungen und Zeitschriften geschrieben,,,,,,,,,
Carola v. Janke,Latein,Literarische Studien,sie erlernte ausser Latein noch acht lebende Sprachen,,,,,,,,,
Carola v. Janke,Acht lebende Sprachen (unspezifiziert),Übersetzungen,Sie beschäftigte sich demgemäss mit Litteratur und mit Übersetzungen,,,,,,,,,
Margarete Jacobi,Englisch,Übersetzungen,"Seit 1884 Übersetzerin aus dem Englischen, Französischen und Italienischen",,,,,,,,,
Margarete Jacobi,Französisch,Übersetzungen,"Seit 1884 Übersetzerin aus dem Englischen, Französischen und Italienischen",,,,,,,,,
Margarete Jacobi,Italienisch,Übersetzungen,"Seit 1884 Übersetzerin aus dem Englischen, Französischen und Italienischen",,,,,,,,,
Hedwig Jahn,Französisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen, Italienischen und Dänischen",,,,,,,,,
Hedwig Jahn,Englisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen, Italienischen und Dänischen",,,,,,,,,
Hedwig Jahn,Italienisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen, Italienischen und Dänischen",,,,,,,,,
Hedwig Jahn,Dänisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen, Italienischen und Dänischen",,,,,,,,,
Paula Franziska Wilhelmine Karsten,Englisch,Lehrerin und Vorleserin,"Vorleserin der deutschen, englischen, französischen, italienischen und schwedischen Sprache",,,,,,,,,
Paula Franziska Wilhelmine Karsten,Französisch,Lehrerin und Vorleserin,"Vorleserin der deutschen, englischen, französischen, italienischen und schwedischen Sprache",,,,,,,,,
Paula Franziska Wilhelmine Karsten,Italienisch,Lehrerin und Vorleserin,"Vorleserin der deutschen, englischen, französischen, italienischen und schwedischen Sprache",,,,,,,,,
Paula Franziska Wilhelmine Karsten,Schwedisch,Lehrerin und Vorleserin,"Vorleserin der deutschen, englischen, französischen, italienischen und schwedischen Sprache",,,,,,,,,
Berta Katscher,Englisch,Übersetzungen,Seit Jahren schreibt B. K. für hervorragende Zeitschriften Übersetzungen aus dem Englischen und Ungarischen,,,,,,,,,
