identifier,original,surname_y,prename_y,Zusatz,alternative_names_y,place_of_birth,place_of_death,date_of_birth,date_of_death,biography,bibliography,alternative_names,alternative_biography,alternative_bibliography,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18,Sprache,Sprache_2,Sprache_3,Sprache_4,Sprache_5,Sprache_6,Sprache_7,Sprache_8
1158108478,Goës Herma,Goës,Herma,,,Mönchengladbach,,1859,,"Goës, Herma, geb. Sulzer, Ps. Herm. Gosseck, geboren den 5. Mai 1859, lebte früher in Zürich. Werke s. Herm. Gosseck.",,Gosseck Herm,s. Herma Goës.,"‒ Aus guter Gesellschaft. Bucarester Rom. 8. (215) Hamburg 1889, Verlags-Anstalt, Aktien-Gesellschaft. n 4.–geb. n 5.– ‒ Ein Liebeleben. Dichtg. 12. (211) Ebda. 1888. n 3.–geb. n 4.– ‒ Heisses Blut. Rom. a. d. franz. Provinz. 2 Tle. 8. (420) Zürich 1889, Verlags-Magazin, n 5.–",Zürich,,,,,,,,,,,,,,,,,,,,,,,,,
121045684,Göpel Karoline,Göpel,Karoline,,,Kassel,Eisenach,1809-10-22,1887-08-16,"Göpel, Karoline, geb. Witich, Ps. Luise Mai, geboren in Cassel den 22. Oktober 1809. Werke s. auch Luise Mai.","‒ Aus dem Jugendleben Luthers. 8. (32) Eisenach 1885, Kahle. bar n –.40 ‒ Illustrierte Kunstgeschichte. Wandergn. durch d. Reich d. bild. Künste auf d. Wegen ihrer Entwickelg. 2. Aufl. ergänzt u. neu bearb. v. P. Stein. 8. (292) Leipzig 1886, Spamer. n 3.–geb. n 4.– ‒ Sempre avanti. Das Jugendleben Rafaels. Zur 400jähr. Feier seiner Geburt geschildert. Mit e. Titelbild in Lichdr. Rafael Santi im 3. u. im 9. Lebensjahre nach Giov. Santi. 8. (40) Frankfurt a. O. 1883, Trowitzsch & Sohn. bar 1.50 ‒ Wartburgsklänge. 8. (63) Eisenach 1886, Kahle. geb. bar nn 1.–",Göpel Karoline,Band I S. 272 ist zu ergänzen: gestorben den 16. August 1887 in Eisenach.,,Cassel,Eisenach,,,,,,,,,,,,,,,,,,Französisch,Englisch,,,,,
119369672,Gordon Emy,Gordon,Emy,,,,Würzburg,1843-03-06,1909-02-02,"Gordon, Frau Emy, geb. Freiin v. Beulwitz, Würzburg, Reibeltsgasse 1 1/ 2, wurde 1843 als die Tochter des Barons Hartmund von Beulwitz zu Cannstadt geboren. Durch frühzeitige Sprachstudien und viele Lektüre angeregt und nach geistiger Bethätigung sich sehnend, versuchte sich Frau Gordon (die Gattin des lange Zeit als englischen Gesandten an verschiedenen deutschen Höfen fungierenden Mr. George Gordon) als Schriftstellerin. Die Kenntnisse, die sie sich in Belgien in dem Atelier eines alten holländischen Malers in der Malerei erworben, verwertete sie in ihrem ersten Büchlein, praktische Anleitungen für Anfänger in dieser Kunst, welches mehrere Auflagen erlebte. Es folgten ein Märchenbuch, Übersetzungen aus dem Englischen und in das Englische, nebenher Leitartikel für verschiedene Blätter, Novellen und anderes. Neun Jahre hindurch redigierte Frau Gordon ein katholisches Frauenblatt und hat soeben ein anderes, den Interessen der katholischen Frauenwelt Rechnung tragendes Blatt »Für unsere Frauen und Töchter« übernommen.","‒ Allerlei Malverfahren. Anleitgn. z. häusl. Kunstarbeit f. Anfänger. 2. Aufl. 8. (69) (1888) 1892 Leipzig, Haberland. n –.75 ‒ Lose Blätter aus Märchens Sammelmappe. 1891. ‒ New fairy tales. 1888. ‒ Pflichten eines Dienstmädchens, oder das ABC des Haushaltes. 2. u. 3. Aufl. 12. (144) Donauwörth 1894, L Auer. kart. n –.75 ‒ Praktische Anweisung zur Ölmalerei in ihren verschiedenen Arten für Anfänger u. Dilettanten. 8. (84) Leipzig 1890, Haberland. n 1.– ‒ Praktischer Ratgeber für Erwerb suchende Frauen u. Mädchen aus besseren Ständen. 8. (152) Leipzig 1893, P. Hobbing & B. n 1.–geb. 1.50 ‒ Religio viatoris. Die vier Grundsteine meines Glaubens. Von H. E. Manning. Übers. v. E. G. 8. (68) Würzburg 1889, Woerl. –.75",,,,Cannstadt,Würzburg,,,,,,,,,,,,,,,,,,,,,,,,
130166294,Gordon Marie,Gordon,Marie,,,Wien,Triest,1811-07-20,1863-11-13,"Gordon, Marie, Ps. Alexander Bergen, geboren 1812 in Wien, gestorben 13. November 1863 in Triest.",,Saphir Marie,Ps. Max Stein und Alexander Bergen.,"‒ Aus Liebe sterben. Bearbeitung von Marie Saphir. ‒ Der Sohn des Giboyer. Übers. d. E. Augier. 8. (60) Wien 1865, Wallishausser. n 1.60 ‒ Drei Tage im Harem. Übers. aus dem Englischen. ‒ Montjoie. Übers. des O. Feuillet. 8. (51) Wien 1865, Wallishausser. n 1.20 ‒ Die Zwillingsbrüder. Erzählg.",Triest,Wien,Stein,,,,,,,,,,,,,,,,,,,,,,,
1050469399,Gotthelf Henriette,Gotthelf,Henriette,,,Hamburg,Paris,1856,1909,"Gotthelf, Frau Henriette, geb. Levis, Paris, 8 Cité Condoreet, erblickte das Licht der Welt am 27. August 1856 in Hamburg, und besuchte dort die höhere Töchterschule. Sie vermählte sich 1875 mit dem Kaufmann Siegfried Gotthelf. Ihre Novellen und Skizzen, meist dem Pariser Leben entnommen, behandeln vorzugsweise Gegenstände elegischen Genres. Für die gelesensten Zeitschriften in Deutschland, Österreich, Ungarn, der Schweiz liefert sie Beiträge der verschiedensten Art, ebenso für französische Zeitungen in französischer Sprache.","‒ Auteurs modernes. Französisches Lesebuch für die Jugend. 8. (191) Stuttgart 1889, I. Engelhorn. 2–geb. 4.– ‒ Marcelle. Orig.-Rom. 8. (239) Mannheim 1894, I. Bensheimers Verlag. n 4.–geb. bar n 5.–",,,,Paris,Hamburg,,,,,,,,,,,,,,,,,Französisch,,,,,,,
116147857,Grad Max,Grad,Max,,,,,1867-06-30,1927-01-24,"Grabi, Frau Magdalene, Ps. M. Harald, Strassburg i. Els., Steinwallstrasse 44 parterre, am 20. Mai 1858 zu Kolzow, Insel Wollin, geboren, als Tochter des Pastors E. Harnisch, war sie Lehrerin, nachdem sie ihre Eltern und den Verlobten in kurzer Zeit durch den Tod verloren hatte. Seit 12 Jahren ist sie mit H. Grabi verheiratet. Sie schreibt Romane und Novellen, auch für Zeitschriften. Ein grösserer Roman: Vom Pfade gewichen erschien zuerst in der Norddeutschen Allgemeinen Zeitung. Werke s. auch M. Harald. u. M. Behne. Die Heinzelmännchen. Übers. aus dem Engl. u. Frz. Ebda. u. E. Grube. Neue Märchen. Das Huhn m. d. gold. Federn. Berlin 1895. Christlicher Zeitschriftenverein. –.75","‒ Annemarie. Erzählg. 12. Berlin 1896, Christlicher Zeitschriftenverein. –.75 ‒ Edithas Kanarienvogel. Ebda. 1895. –.75 ‒ Eva, Ruth u. Ein Thaler. Ebda. 1897. –.75 ‒ Margaret. Leipzig 1898, Abel & Müller. U. d. Presse. 4.– ‒ Richard Ohnefurcht, der kleine Normannenfürst. (158 m. Bild.) –.60 ‒ Verrat u. Treue. Leipzig, Jugendgartenlaube Verlag. (Preisgekrönt.) 3.– ‒ Wir sind Menschen. Rom. nach e. engl. Original. 8. (96) Berlin 1897, A. Weichert. –.20",,,,Bern,,,,,,,,,,,,,,,,,,,,,,,,,
116823194,Grashey Anna,Grashey,Anna,,,Werneck,,1857,1915,"Grashey, Anna, geb. Gudden, München, Prinzregentenstrasse 18, geboren am 26. November 1857, ist die Tochter des vor Jahren beim Rettungsversuche des Königs Ludwig II. den Heldentod gestorbenen Obermedizinalrates Dr. von Gudden. Sie ist verheiratet an den Obermedizinalrat im Staatsministerium des Innern Dr. Grashey. Sie schreibt Gedichte und Skizzen aus ihrem eigenen glücklichen Heim und dem Volksleben in Zeitschriften u. dergl.","‒ Für uns. Gedichte. 8. (189) Leipzig, Breitkopf & Härtel. geb. 3.50",,,,München,,,,,,,,,,,,,,,,,,Französisch,Englisch,,,,,,
116824204,Grau Josephine,Grau,Josephine,,,Schlüchtern,Fulda,1852-05-31,1920-04-04,"Grau, Frl. Josephine, Ps. Joseph Grineau, Fulda, Kanalstrasse 30, geboren den 29. Mai 1852 in Schlüchtern, schreibt Romane und Novellen, historische Erzählungen, Biographieen, Kulturhistorisches und Tagesgeschichte (Originalberichte für Zeitungen). Werke s. Joseph Grineau.",‒ Nach dreissig Jahren. 1884.,Grineau Joseph,Biographie u. Werke s. Josephine Grau.,"‒ Nach dreissig Iahren. Nov. 8. (29) Aachen 1884, Palm. n –.90",Schlüchtern,Rom,Fulda,Rom,,,,,,,,,,,,,,,,,,,,,,
1041310625,Gregor Lucy,Gregor,Lucy,,,Düren,,1864-10-01,1944-09-13,"Gregor, Lucy, s. Lucy Hoesch. Nachtrag.","‒ Auch einige nüchterne Bemerkungen über die Frauenfrage »von einer Frau«. (ca. 25) Bad Ems, Robert Sommer. ‒ Sie haben keine Ehre. Skizzen. 4.–7. Taus. 12. (128 m. Titelbild) Berlin 1897, R. Eckstein Nachf. 1.– ‒ Wo liegt die Schuld? (121) Berlin 1892. H. Steinitz. 1.–",Hoesch Lucyoesch Lucy,"Sie haben keine Ehre. Erzählgn. u. Skizzen. 1.–3. Taus. 12. (136 m. Titelbild) Berlin 1896, R. Eckstein Nachfolger. n 1.–s. Lucy Gregor, Godesberg a. Rhein, geboren am 1. Oktober 1864 in Düren, Rheinprovinz. Sie hat in London am University College Psychologie, in Freiburg Naturwissenschaft studiert. Das in Band I unter Lucy Hoesch verzeichnete Werk »Sie haben keine Ehre« ist unter ihrem Pseudonym Lucy Gregor erschienen. Werke s. Lucy Gregor. Nachtrag.",,Berlin,Freiburg,London,Düren,Godesberg,,,,,,,,,,,,,,,Italienisch,,,,,,
116833815,Griebel Lucy,Griebel,Lucy,,,Meldorf,Kiel,1854-11-16,1922,"Griebel, Frl. Lucy, Ps. Eva Treu, Meldorf in Schleswig-Holstein, Kiel, Muhliusstrasse 25, Schwester der Schriftstellerin Minna G. (siehe diese), wurde in dem kleinen holsteinischen Städtchen Meldorf an der Nordsee, geboren, woselbst ihr Vater als Amtsgerichtsrat thätig war. Sie verlebte im Elternhause mit noch fünf anderen Geschwistern eine sehr glückliche, ungebundene und poetische Jugenderlernte nach ihrer Konfirmation zuerst den Haushalt und ging dann auf das Lehrerinnenseminar zu Schleswig. Mit ihrem 18. Jahre begann sie bereits ihre Thätigkeit Werke s. Eva Treu.",,Treu Eva,Biographie s. Lucy Griebel.,"‒ Alltagsmenschen. 8. (264) Leipzig 1897. E. Keils Nachfolger. 3.–geb. 4.– ‒ Dennoch. Nov. 16. Im Druck 1897. Anklam, Herm. Wolter. geb. 1.– ‒ Erlebtes u. Erträumtes. Erzählgn. 16. (242) Hamburg 1889, Verlagsanstalt u. Druckerei, Aktien-Gesellschaft. 2.50geb. 3.50 ‒ Helles u. dunkles. Erzählgn. 8. (190) Garding 1888, Lühr & Dircks. 2.–geb. 3.– ‒ Rosen u. Dornen. Erzählgn. 8. (200) Ebda. 1894. 2.–geb. 3.– ‒ Stille Geschichten. 8. (202) Ebda. 1896. 2.–geb. 3.– ‒ Zwei Strandgeschichten. 8. (274) Ebda. 1889, 2.40geb. 3.60",Meldorf,Schleswig,Kiel,,,,,,,,,,,,,,,,,,,,,,,
1149298502,Grieben Ferdinande,Grieben,Ferdinande,,,,,1844,,"Grieben, Frl. Ferdinande, Ps. W. Egbert, Angermünde, Bahnhofstrasse 3, im uckermärkischen Städchen Angermünde, am 29. September 1844, als Tochter des Justizrats Grieben, geboren, lebt sie daselbst noch heute im väterlichen Hause. Ihr Stillleben wird im Winter durch Aufenthalt in Berlin zur geistigen Anregung und im Sommer durch Reisen ins Gebirge oder ans Meer unterbrochen. Im Jahre 1866 machte sie in Berlin das Lehrerinnenexamen, nachdem sie den zweijährigen Lehrkursus des Augustaseminars absolvierte, doch hat sie den Lehrerinberuf nie ausgeübt, sondern ihre Mussezeit dem Schriftstellern gewidmet. Ausser Romanen, Novellen und Feuilletons für Zeitschriften, schrieb sie Bühnenstücke, u.a. die Schauspiele: »Leona«, »Rutlandshof« (Verleger: Sallis, Guben), »Ikarus« und die Lustspiele: »Auf der Freite« (Verleger: Felix Bloch, Berlin), »Ein Lorbeerblatt«, »Kunstliebe und Liebeskunst«, »Geschwister Rode« (Verleger: Gebrüder Pollmann, Karlsruhe), »Knalleffekte der Natur« (Verleger: Felix Bloch, Berlin). Letzteres wurde auf dem Stadttheater zu Frankfurt a. M., am Dresdener Hoftheater, Hamburger Thalia-Theater u.a. zur Darstellung gebracht. Werke s. W. Egbert.","‒ Auf Regen folgt Sonnenschein. Dramat. Plauderei. (20) Frankfurt a. M., Könitzers Verlag. n –.90",,,,Frankfurt a. M.,Rom,Angermünde,Dresdener Hoftheater,Hamburg,Karlsruhe,Berlin,Rom,Dresden,,,,,,,,,,,,,,,,,
1245894870,Groag Carola,Groag,Carola,,Groag-Belmonte,Ivanovice na Hané,Mauer bei Wien,1851-10-02,1928-01-17,"Groag, Carola, Biographie s. Carola Belmonte-Groag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119196778,Groner Auguste,Groner,Auguste,,,Wien,Wien,1850-04-16,1929-03-07,"Groner, Frau Auguste, Ps. Renorga, A. v. d. Paura, Olaf Björnson, Wien XIII, I., Villa Groner, ist städtische Volksschullehrerin. Die Anzahl der von ihr in Tageszeitungen und Zeitschriften veröffentlichten Feuilletons und Erzählungen beziffert sich mit über 500.","‒ Auf heimatlichem Boden. 8. (312) Wien 1891, Bondi. geb. 2.– ‒ Aus dem Norden 8. (318) Ebda. 1888. geb. 1.– ‒ Aus grauer Vorzeit. Kulturgeschichtl. Erzählg. aus der Heimat unserer Vorfahren. 8. (259 m. 8 z. Tl. farb. Bildern.) Teschen 1894, K. Prochaska. geb. 5.– ‒ Aus Tagen der Gefahr. Drei vaterländische Erzählgn. aus der Vergangenheit Österreichs. 8. (180 m. Illustr.) Ebda. 1891. kart. 3.–geb. 5.– ‒ Aus unserer Vaterstadt. Geschichte der Wiener Stadterweiterungen. Mit 50 Illustr. von Prof. F. Kopallik. Wien 1888, Bondi. kart. 3.– ‒ Aus vaterländischen Kriegen. 3 Erzählgn. 8. (249 m. 8 Bildern.) Teschen 1896, K. Prochaska. geb. n 5.–",Groner Augusteaura A. derenorga,"Aus vergangenen Zeiten. 9 Erzählgn. f. Kinder über 9 Iahre. 8. (32) Wien 1891, Bondi. geb. 1.–. Auguste Groner.. Auguste Groner.","‒ Das Pharaonenarmband Stuttgart 1898, Deutsche Verlags-Anstalt. ‒ Erzählgn. aus der Geschichte Österreich-Ungarns. 8. (240 m. Illustr.) Teschen 1889, K. Prochaska. geb. n 5.– ‒ Erzählgn. u. Sagen aus Österreich 8. (240) Wien 1888, Bondi. geb. 1.– ‒ Geschichten aus Alt-Wien. 8. (320) Ebda. 1891. geb. 1.– ‒ G'schichten aus dem Traunviertel. Dialekt-Erzählgn. 2. (Titel-) Ausg. 12. (227) (1888) 1896, Wien, C. Daberkow. n 1.70 ‒ Heldenthaten unserer Vorfahren. Erzählgn. aus Österreich-Ungarns Vorgeschichten. 8. (270 m. 5 Farbendr.) Teschen 1887, K. Prochaska. geb. n 5.– ‒ Im Strome der Zeiten. Erzählgn. 8. (332) Ebda. 1897. geb. 5.– ‒ In Ritterburgen u. unter fahrenden Leuten. Erzählgn. aus dem mittelalterlichen Volksleben in Österreich-Ungarn. 8. (280 m. 5 Farbendr.) Ebda. 1889. geb. n 5.– ‒ Kriminalnovellen. Der Neunundsiebzigste. – Die goldene Kugel. 16. (102) Leipzig 1893, Ph. Reclam jr. n –.20 ‒ Leutverderber. Das Beichtgeheimnis. Die letzte Nacht. 12. (128 m. 25 Illustr.) 3 Kriminalgeschichten Berlin 1897, H. Hillger. n –.20geb. n –.40 ‒ Liebesphasen. Ein Novellenstrauss. 8. (231) Wien 1888, Brockhausen. n 3.–geb. n 4.– ‒ Neue Kriminalnovellen. (An einem Faden. – Ermordet.) 16. (116) Leipzig 1896, Ph. Reclam jr. n –.20 ‒ Nordische Geschichten. 8. (212) Glogau 1892, C. Flemming. geb. 3.– ‒ Nordlands Geschichten. 8. (286 m. 8 z. Tl. farb. Bildern.) Teschen 1895, K. Prochaska. geb. n 5.– ‒ Österreicher in Mexiko. Erzählg. aus den Tagen des Kaisers MaximilJan. 8. (257 m. 5 Farbendr) Ebda. 1890. geb. n 5.–",Wien,Wien,,,,,,,,,,,,,,,,,,,,,,,,
116877529,Groth Franziska,Groth,Franziska,,,,,1863,,"Groth, Frau Franziska, geb. Apel, Ps. Clara Richard und Franziska Branitz, Leipzig, Ferdinand Rhodestrasse 7, als Tochter des Justizrats Apel in Schwetz am 15. Februar 1863 geboren, ist sie seit 1887 verheiratet mit dem Oberlehrer Dr. Groth in Leipzig. Im Jahre 1884 erschien von ihr: »Frühlingsblumen«, Gedichteim Jahre 1888 »Schopenhauer im Fegefeuer«, Pseudonym: Branitz, eine Satire. Ausser einigen Artikeln für die Danziger Zeitung hat sie noch einige Märchen und Erzählungen verfasst, die ohne Namen in dem »Grenzboten« erschienen und noch nicht in Buchform gesammelt herausgegeben sind. Ausserdem sind kleinere Beiträge in verschiedenen Zeitschriften abgedruckt worden. Werke s. Franziska Branitz und Clara Richard.",,,,,Danzig,Leipzig,,,,,,,,,,,,,,,,,,,,,,,,
1047219018,Gründler Adele,Gründler,Adele,,,,,1854,1909,"Gründler, Frau Adele, geb. Sachsse, Barby, Gattin des Königlichen Seminar-Direktors Ernst Gründler zu Barby, wurde als die jüngste Tochter des 1891 zu Berlin verstorbenen Oberpostdirektors und Geheimen Postrats Sachsse am 2. April 1854 in Elberfeld geboren. Versetzungen des Vaters führten sie während ihrer Schuljahre nach Arnsberg, Danzig und Berlin. In der letztgenannten Stadt empfing sie durch Professor Theodor Kullak eine gediegene Ausbildung im Klavierspiel und vermählte sich im Herbst 1878 ihrem 1. Sein Lebensbild. 2. Ein Gesangbüchlein aus Tersteegens Liedern.","‒ Das Haus. 16. (48) Hamburg 1885, Verlag der Niedersächsischen Traktat-Gesellschaft. –.10 ‒ Fred. Erzählg. 12. (48) Hamburg 1892, Agentur des Rauhen Hauses. –.20 ‒ Georg III. v. Anhalt, Fürst u. Prediger. Ein Lebensbild. 12. (52) Barmen 1894, H. Klein. n –.10 ‒ Gerhard Tersteegen, zu seinem 200jährigen Geburtstag am 25. Nov. 1897. 8. (143) Berlin 1897, Buchhandlung der Berliner Stadtmission. 1.20geb. 2.20m. Goldschn. 2.40 ‒ Gotthilf Heinrich v. Schubert u. Ernst Moritz Arndt. Zwei Lebensbilder. 8. (108) Halle 1895, H. Schroedel. –.90 ‒ Heideblüten. Gedichte. 12. (78) Halle a. S. 1892, F. Strien. geb. m. Goldschn. n 2.50 ‒ Ins Spittel u. wieder heraus. Erzählg. 16. (31) Hamburg 1896, Verlag der Niedersächsischen Traktat-Gesellschaft. –.10 ‒ Nach Hause. Erzählung. 16. (24) Ebda. 1897. –.10 ‒ Nettelbeck. Ein Lebensbild. 12. (52) Berlin 1897, Hauptverein für christliche Erbauungsschriften. n –.40 ‒ Rudi. Erzählg. 4. (31) Konstanz 1897, Carl Hirsch. –.20 ‒ Valerius Herberger. Ein Lebensbild. 16. (48) Hamburg 1897, Niedersächsische Traktatgesellschaft. –.10",Gründler Adele,"Die Grösste unter ihnen. Erzählg. aus der Zeit von Deutschlands Schmach u. Befreiung. 12. (91) Berlin 1897, Hauptverein für christl. Erbauungsschriften. –.50 Ergänzg. zu Band I.",,Arnsberg,Danzig,Elberfeld,Berlin,Berlin,,,,,,,,,,,,,,Ungarisch,,,,,,,
116895020,Grundschöttel Marie,Grundschöttel,Marie,,,,,1832,1897,"Grundschöttel, Marie, Ps. Martin im Grund und M. Grund, München-Schwabing, ist am 20. Juni 1832 als die Tochter eines Geheimen Justizrates zu Koblenz geboren, erwählte nach des Vaters Tode, obwohl schon in reiferen Jahren, das Lehrfach und ging nach England, wo sie als Lehrerin und Schülerin zugleich in einem der ersten Pensionate auftrat. Während ihres einjährigen Aufenthaltes daselbst trat sie zur Familie Ferdinand Freiligraths in freundschaftliche Beziehungen. Von London begab sie sich nach Brüssel und wurde durch eine Familie der höchsten Aristokratie in den bedeutendsten flämischen Künstlerkreisen bekannt. Nachdem sie ihr Lehrerinnenexamen in Düsseldorf absolviert hatte, weilte sie zwei Jahre in Deutschland, war dann abwechselnd auf Reisen in Italien, Istrien, Illyrien, der Insel Wightzuletzt führte sie ihr Weg nach Toscana und Rom. Nach ihrer Heimkehr widmete sie sich in Wiesbaden dem Studium der Kunst, weilte zu dessen Förderung in Düsseldorf und Berlin, absolvierte 1876 ihr Examen an der Akademie der Künste in Berlin und wurde dann als Zeichenlehrerin an der städtischen höheren Töchterschule in Köln angestellt. Im Jahre 1888 legte sie ihr Lehramt nieder und zog nach Wertheim in Baden, dann 1892 nach Darmstadt. Seit 1894 lebte sie in München-Schwabing und ist da gestorben.","‒ Das Miedei vom Tegernsee. Erzählg. aus den bayer. Hochgebirgen, 8. (92) Berlin 1897, Verlag des christlichen Zeitschriften-Vereins. 1.50geb. 2.– ‒ Diesseits und Jenseits. Gedichte. 1874.",,,,Düsseldorf,Wiesbaden,London,Darmstadt,Wertheim,Brüssel,Schwabing,Rom,Köln,Koblenz,Berlin,München,Rom,,,,,,,,,,,,,
116299525,Gurschner Alice,Gurschner,Alice,,,Wien,Wien,1869-10-08,1944-03-26,"Gurschner, Alice, geb. Pollak, Ps. Paul Althof, Wien I, Opernring 23, zu Wien am 8. Oktober 1869 geboren, vermählte sie sich am 5. Mai 1897 mit dem Bildhauer Gustav Gurschner. Schon mit 13 Jahren gab sie Beweise ihrer poetischen Begabung in einer französisch geschriebenen Erzählung, welche unter dem Titel: »Les habitants de la fleurette« in die Öffentlichkeit kam. Acht Jahre später folgten deutsch geschriebene Erzählungen, epische Dichtungen, Novellen, Kunstkritiken, Feuilletons, die in den hervorragendsten Tages-, Wochenund illustrierten Zeitschriften veröffentlicht sind, zu deren ständigen Mitarbeiterinnen sie noch zählt. Weitere Werke s. Paul Althof.","‒ »Passion«, Gedichte. 8. (100) Wien 1897, C. Daberkow. 2.–geb. 3.–",Pollak Alice,Biographie s. Alice Gurschner. Werke s. Paul Althof.,,Wien,Wien,,,,,,,,,,,,,,,,,,,,,,,,
116917466,Güthner Nina,Güthner,Nina,,,,,1835,1905,"Güthner, Frau Nina, geb. Baronesse v. Fuchs-Bimbach, München, Schellingstrasse 30 I r., geboren zu Schloss Bimbach am 25. August 1835, lebte in der Jugend auf den väterlichen Gütern in Franken oder in Würzburg in »Pracht und Reichtum«. Sie erhielt ihre Erziehung, nachdem sie ihre Mutter im 3. Jahre verlor, durch Gouvernannten und Erzieher. 12 Jahre alt machte sie deutsche und französische Gedichte, die den Beifall von Geibel und Prutz fanden. 1859 mit dem bayrischen Ingenieurhauptmann Güthner verheiratet, zog sie mit ihm nach Neu-Ulm. Nach der Pensionierung ihres zum Major aufgerückten Gatten, suchte sie ihre schriftstellerischen Arbeiten zu verwerten. Viele Zeitschriften enthalten Beiträge von ihr. Das Königliche Theater in München brachte ein Lustspiel aus ihrer Feder, »Die Wahl« zur Aufführung, welches eine so beifällige Aufnahme fand, dass es an dieser Bühne an 20 mal, sowie an vielen anderen deutschen Bühnen, u.a. auch an der Stuttgarter Hofbühne zur Aufführung kam. Die Pflege um den kranken, durch einen Sturz vom Pferde sehr leidend gewordenen Mann hinderte sie, die litterarische Fähigkeit mehr auszunützen. Nach dem Tode ihres Gatten 1891 zog sie nach München, wo sie nunmehr »dichtet wie in den Tagen der schönen Jugend«.","‒ Balladen f. d. Vortrag geeignet. 16. (32) Leipzig 1880, Naumann. 1.– ‒ Das Blaustrümpfchen. Erzählg. f. d. reifere weibl. Jugend. 8. (306) Eisenach 1887, Kirchner. geb. n 4.–",Güthner Nina,"Das Henkerstöchterlein v. Ulm. Erzählg. 8. (284) Berlin 1884, Parrisius. n 4.–","‒ Das Lied des Löwen. – Er hat abgefärbt. 2 Nov. 8. (29 m. Bildnis) Lübeck 1897, Verlag der Novellen-Bibliothek. n –.50 ‒ Die Schwanenjungfrauen. Erzählg. f. d. reif, weibl. Jugend. 2. Aufl. 8. (160 m. Text-Abbildgn.) 1885, 1893. Leipzig, O. Spamer. n 2.–geb. n 3.– ‒ Die Wahl. Dramat. Kleinigkeit. 16. (30) Leipzig 1879, Reclam jr. –.20 ‒ Im Schatten des Todes. Nov. 8. (44) Lübeck 1895, Verlag der Novellen-Bibliothek. –.25 ‒ Überwunden. Rom. 2 Tle. in 1 Bd. 8. (330) Berlin 1891, O. Janke. n 5.–wohlf. Ausg. 2.–",Stuttgart,Ulm,Würzburg,Neu-Ulm,München,Bimbach,Ulm,Berlin,,,,,,,,,,,,,,,,,,
1038453852,Guttmann Emma,Guttmann,Emma,,,Berlin,,1856,,"Guttmann, Emma, Charlottenburg, Kantstrasse 148, geboren am 11. Oktober 1856 in Berlin als die Tochter eines Lehrers, hat da selbst die Dierbachsche höhere Töchterschule besucht und 1875 das Lehrerinnen-Examen abgelegt. Nachdem sie einige Jahre ihrem Beruf als Lehrerin nachging, hatte sie das Unglück, durch einen Sturz vom Fahrdamm sehr leidend zu werden und lebt dadurch von ihren Angehörigen und Freunden jetzt etwas zurückgezogen. Sie hat unten angeführtes Werk veröffentlicht.","‒ Frühlingsbeichte. Gedichte. 16. (78) Berlin 1897, Concordia, Deutsche Verlags-Anstalt, n 2.–geb. n 3.–",,,,Charlottenburg,Berlin,,,,,,,,,,,,,,,,,,,,,,,,
127696962,Gysel-Hallauer Bertha,Gysel-Hallauer,Bertha,,,Wilchingen,Wilchingen,1863-02-12,1939-10-13,"Gysel-Hallauer, Frau Bertha, Schaffhausen, Schweiz, geboren den 12. Februar 1863 in Wilchingen, schreibt Gedichte. Werke s. Bertha Hallauer.",,Hallauer Bertha,Biographie s. Bertha Gysel-Hallauer.,"‒ Aus der Heimat. Gedichte. 8. (83) Zürich 1888, Schröter & Mayer. n –.80geb. n 1.60",Schaffhausen,Hall,Wilchingen,Hall,,,,,,,,,,,,,,,,,,,,,,
105765791,Hahn Franziska,Hahn,Franziska,,,Karlsruhe,Karlsruhe,1804-05-29,1863-03-16,"Hahn, Franziska, Ps. F. Erhard, schrieb Romane um das Jahr 1887–1889.","‒ Wie steht es mit den Kellnerinnen in sozialer u. christlicher Beziehung? Ein Notschrei. 2. Aufl. 12. (22) Basel 1893, Iäger & K. –.20",Hahn Franziska,"Ps. F. Erhard, Berlin W., Neue Winterfeldstrasse 48, geboren den 7. Mai 1857, schreibt Novellen und Romane. Siehe auch Band I.",,Rom,Rom,Rom,Berlin,Rom,,,,,,,,,,,,,,,,,,,,,
1074211324,Halbach-Bohlen Juliet,Halbach-Bohlen,Juliet,,,"Philadelphia, Pa",Baden-Baden,1835-04-27,1919-02-11,"Halbach-Bohlen, Frl. Juliet, Ps. Amanda Matorka Blankenstein, Baden-Baden, Villa Suckow, wurde am 27. April 1835 zu Philadelphia (Amerika) geboren und kam in ihrem sechsten Jahre nach Deutschland. Sie hat viele Reisen gemacht, so durch Nordafrika, Klein-Asien, Griechenland, Spanien, Italien. Der Wunsch, für die Jugend zu wirken, führte sie zur Schriftstellerei. Ihre meisten Arbeiten sind Jugendschriften. Ausserdem schrieb sie, angeregt durch einen wiederholten Winteraufenthalt auf Korsika, einen Band diese schöne Insel verherrlichende Reiseskizzen. Werke s. Amanda M. Blankenstein.",,,,,Baden-Baden,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,
