gnd,surname,prename,name_complete,place_of_birth,place_of_death,date_of_birth,date_of_death,alternative_1,biography_alternative_1,bibliography_alternative_1,alternative_2,biography_alternative_2,bibliography_alternative_2,alternative_3,biography_alternative_3,bibliography__alternative_3,alternative_4,biography_alternative_4,bibliography_alternative_4,alternative_5,biography__alternative_5,bibliography_alternative_5
122739294X,Berger,Marie,Berger Marie,Metzingen,Leinfelden-Echterdingen,1823-05-03,1883-11-19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1023068958,Berger,geb,Berger Therese,Magdeburg,Magdeburg,1810-01-02,1871-08-04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1017713340,Bergmann,Marie,Bergmann Marie,Basel,Dresden,1846-10-01,1934-01-11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
109334515,Bergner,Anna,Bergner Anna,Trier,.,1802,1882,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117446823,Berkow,Karl,Berkow Karl,.,.,1846-03-04,1921-04-10,Wolfersdorff Elise Charlotte,"Ps. Karl Berkow, Bayreuth, geboren am 7. März 1851 zu Graudenz als die jüngste Tochter des Garnisonauditeurs Hans Otto v. W. Ein Iahr alt verlor sie ihre Mutter. Der Vater, eine echte Künstlernatur, leitete selbst die Erziehung seiner Kinder. Elise ist seit ihrem 18. Iahre schriftstellerisch thätig und hatte mit ihrem Roman »Frauenliebe« ihren ersten Erfolg, der sie zur Berufschriftstellerin machte. Sie lebte längere Zeit in Berlin und Dresden und wohnt jetzt in Bayreuth. Werke s. Karl Berkow.",.,.,.,.,.,.,.,.,.,.,.,.,.
116135395,Berks,Marie Edle von,Berks Marie Edle,Livorno,Sankt Georgen ob Judenburg,1859-08-10,1910-06,Čop-Marlet Mara,"Ps. E. v. Berks, Biographie s. Marie Edle v. Berks.","‒ Aus den Edelhöfen des Balkan. Nov. Leipzig 1887, Unflath. ‒ Dankos Glück. Ethnogr. Studie a. Afrika. ‒ Ein Goldstück. Schausp. 1890. ‒ Hochzeitslied. Lustsp. 1890. ‒ Muschelkinder. Opernlibretto. ‒ Psyche. Schausp. 1890. ‒ Südslavische Frauen. Auf Höhen u. Tiefen der Balkanländer. Mit einer Einleitg. v. I. A. Freiherrn v. Helfert. 4. (64 m. 5 Heliogr.) Budapest 1888, Wien, Frick. n 12.– ‒ Vom Pariser Macadam. Nov. u. Skizzen. 8. (191) Dresden 1897, E. Pierson, n 2.50",Lenger-Marlet,Biographie s. Marie Edle v. Berks. Werke s. Mara Čop-Marlet.,.,Marlet-Čop Mara,"Biographie s. M. Edle v. Berks, Werke 8. Mara Čop-Mariet.",.,.,.,.,.,.,.
116135875,Berlepsch,Freifrau Lina von,Berlepsch Lina,.,.,1829-04-29,1899-03-29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
126285802,Berlin,Dorothea,Berlin Dorothea,Hamburg,.,1844-04-25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11883018X,Bern,Martha,Bern Martha,Wandsbek,London,1861-07-16,1951-11-02,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117285064,Bern,Olga,Bern Olga,Bad Vöslau- Gainfarn,Berlin,1861-06-05,1933-07-20,Wohlbrück-Bern Olga,"derzeitige Adresse: Berlin W., Lützowufer 13. Biographie s. Olga Bern. Berichtigung: Olga Bern ist nicht Pseudonym, sondern der Mädchenname, den sie sowohl im litterarischen wie auch im bürgerlichen Namen weiterführt.","‒ Aus drei Ländern. 3. Aufl. 8. (291) (1894) 1896, Leipzig, G. H. Meyer. 4.–; geb. 5.– ‒ Besonderer Umstände halber. Lustp. 8. (49) Berlin 1896, E. Bloch. 2.– ‒ Carriere. Rom. 8. (250) Berlin 1892, Verein der Bücherfreunde. 3.–; geb. 3.75 ‒ Glück. Nov. 8. (293) Berlin 1893, Weimar, E. Felber. 4.–; geb. 5.– ‒ Novellen. 2. Aufl. (v. Unauslöschlich u. andere Nov.). 8. (256) (1892) 1894, Berlin, Aug. Schultzes Verlag. 1.– ‒ Unauslöschlich und andere Nov. 8. (256) Ebda. 1892. 350; geb. 4.50; erm. Pr. 1.–; geb. 1.50 ‒ Vater Chaïm u. Pater Benediktus. Das Recht auf Glück. Zwei Erzählgn. 2. Aufl. 8. (342) Leipzig 1895, G. H. Meyer. 3.–; geb. 4.– ‒ Vortragsmappe. 8. (290) Halle a. S. 1893, Herrn. Gesenius. 2.40; geb. 3.20",.,.,.,.,.,.,.,.,.,.,.,.
1055245901,Bernadzikowska,Jelica,Bernadzikowska Jelica,Esseg,Novi Sad,1870,1946,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118156543,Bernau,Frl. Anna,Bernau Anna,.,.,1865,.,Bernau Anna,S. auch Band I. Inhalt: 1. Verbotenes Wissen – verbotene Waffen. 2. Jugend und Alter. 3. Stellung zur Ehe; Angebot und Nachfrage.,"‒ Ungereimtes aus dem Frauenleben. 8. (48) Berlin 1898, F. Dümmler. –.60",.,.,.,.,.,.,.,.,.,.,.,.
105249286X,Bernhard,.,Bernhard,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116522720,Bernhard,Auguste,Bernhard Auguste,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116702079,Bernhard,Frl. Clara,Bernhard Clara,Wien,.,1856,1937,Ruge Clara Ottilie,"Ps. C. Raff, New-York, 110 East 47 Street, geboren in Wien, am 1. Juni 1856 als Tochter des Schriftstellers und Publizisten Otto Bernhard Friedmann und dessen Gattin der Schriftstellerin Ottilie, geb. Schmieder aus Dresden, welche unter dem Pseudonym Oskar Brandt Novellen schrieb. O. B. Friedmann gründete im Iahre 1848 die erste freisinnige politische Zeitung Österreichs den »G'rad aus«, war nachher Besitzer und Chefredakteur der »Neuesten Nachrichten« und später des Wiener Lloyd und Mitarbeiter des »Fremdenblatt« und der »Presse«. Im Iahre 1880 starb O. B. Friedmann. In einer litterarisch und künstlerisch sehr anregenden Atmosphäre wuchs Clara Ruge heran. Ihr Vater war auch ein grosser Kenner, Liebhaber und Sammler von Gemälden, auch selbst die Malerei ausübend als Landschafter. Sie genoss ihre Ausbildung hauptsächlich durch Privatunterricht, indem sie mit ihrem Bruder Otto (jetzt Professor des Strafrechts an der Wiener Universität) das Gymnasium absolvierte, weil die damaligen Wiener Mädchenschulen für höhere Ausbildung ungenügend waren. Malerei und Litteratur übten von frühester Jugend an die grösste Anziehung auf sie aus und zu schriftstellern, war stets ihr Ideal. Mit sieben Iahren schrieb sie die ersten »Erzählungen« (die natürlich nie die geträumte Buchform erlangten), mit 11 Iahren ein Drama! Als Clara Friedmann sich in ihrem 16. Iahre ernstlich mit Malerei zu",.,.,.,.,.,.,.,.,.,.,.,.,.
132244829,Bernhard,Julie,Bernhard Julie,.,.,1851-09-21,.,Schuchardt Julie,"Schuchardt, Frl. Julie, Ps. Julie Bernhard, Gotha, Helenenstrasse 6, ist am 21. September 1851 in Göttingen geboren; ihr Vater ist der Geheime Regierungsund Obermedizinalrat Dr. Bernhard Schuchardt. Früh mit der deutschen Dichtung vertraut geworden und von der Natur mit leichter Auffassung der poetischen Formen begabt, übte sie sich schon während der Schulzeit in der Kunst des Verseschreibens, auch in Übersetzungen aus dem Englischen. 1867 kam sie nach Gotha, wohin ihr Vater als Regierungsund Medizinalbeamter berufen worden war. Im August 1870 gab sie eine Sammlung lyrischer Gedichte »Lieder aus dem Thüringer Wald« heraus, deren Ertrag zum Besten der Verwundeten des Krieges von 1870 bestimmt war. In der folgenden Zeit schrieb sie, leider öfters durch Krankheit gestört, verschiedene kleine Novellen, sowie Aufsätze musikalischen Inhaltes für Zeitschriften.","‒ Geburtstagsgrüsse. Mit Citaten aus Rückerts u. Longfellows Werken. 12. (213) Tübingen 1886, H. Laupp. geb. 3.– ‒ Jocelyn. Tagebuch eines Dorfpfarrers. Eine epische Dichtg. Von A. de Lamartine. Übers. v. Julie Bernhard. (I. Sch.) 8. (353) Hamburg 1880, Grüning. 3.60; geb. 5.– ‒ Lieder aus dem Thüringer Wald. Ein Blumenstrauss von Mädchenhand. 8. (55) Gotha 1871, E. F. Thienemann. 1.– ‒ Sedan. Ein Kranz von Sonetten. Gotha 1874, Engelhard-Reiher. –.50",.,.,.,.,.,.,.,.,.,.,.,.
116146273,Bernhard,Frl. Marie,Bernhard Marie,Königsberg,.,1852-11-07,1937,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
127413146,Bernhardi,Frau Luise geb,Bernhardi Luise,Berlin,.,1828-02-15,1914-03-06,Bernhardi Luise,Biographie s. Band I.,"‒ Bearbeitungen von Wildtöter, dem letzten Mohikaner u. Onkel Toms Hütte. Berlin 1894, Bartels. ‒ Das Herzmütterlein. (220) Ebda. 1895. (Fälschlich von Brentana.) ‒ Der japanische Krieg. (224) Ebda. 1895. Erschien ohne Namen. ‒ Der Rattenfänger von Hameln. (48) Ebda. 1893. ‒ Erzählungen für die Jugend. (228) Ebda. 1893. ‒ Märchen aus 1001 Nacht. (223) Ebda. 1893. ‒ Märchen von Grimm, Andersen, Schwab, Musäus, Bechstein, bearb. v. L. B. Ebda. 1893. ‒ Vierzehn Bilderbücher mit Versen. Ebda. 1895. Erschien ohne Namen.",Firlé Luise,Biographie s. Frau Luise Bernhardi.,"‒ Aus alten Tagen. Kinderbriefe u. Märchen. 2. Aufl. 2 Tle. 12. (à 146) Kreuznach, Voigtländers Verlag. à –.75; geb. à 1.– ‒ Für unsere Herzblättchen. (172) Berlin 1895, Bartels.",.,.,.,.,.,.,.,.,.
118973665,Bernhardi,Sophie,Bernhardi Sophie,Berlin,Reval,1775-02-28,1833-10-12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
126043949,Bernhardt,Frl. Adelheid,Bernhardt Adelheid,.,.,1855-06-27,1915,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117235733,Bernow,Ludwig,Bernow Ludwig,.,.,1843,1924,Bernow M.,s. Max von dem Borne. Nachtrag.,.,Jung Mathilde Luise,"Ps. Ludw. Bernow, Baden-Baden, Ludwig Wilhelm-Platz 8, wurde am 17. September 1843 in Meersburg am Bodensee, wo ihr Vater am Schullehrerseminar wirkte, geboren, und siedelte durch die Versetzung des Vaters, der zum Grossherzoglich badischen Kreisschulrat ernannt war, mit ihren Eltern im Iahre 1871 nach Baden-Baden über. Sie hatte eine sorgfältige Erziehung genossen, Kunststudien betrieben, schrieb bald in verschiedene grössere Tagesblätter und Zeitschriften und gab im Iahre 1882 ihr erstes Werk in Buchform heraus. Nach dem Tode ihrer Eltern wirkte sie mehrere Iahre als Oberin des Damenheims Friedrich-Wilhelm-Pflegehaus, wodurch notgedrungen eine Pause in ihrer schriftstellerischen Thätigkeit eintrat. Die letztere nahm sie im Iahre 1896 wieder auf. Werke s. auch Ludwig Bernow.","‒ Ein Lebensbild aus dem 17. Iahrhundert. Volksausgabe. 8. (183) Achern 1897, Eitler & Hundt. In Vorbereitung. ‒ Schloss Favorite. Ein Geleitu. Erinnerungsbüchlein. (Aus: »Das Buch vom Türkenlouis«) 8. (32) Freiburg i. B. 1896, Lorenz & Waetzel. 1.–",.,.,.,.,.,.,.,.,.
1060236745,Bernstein,Frau Elsa,Bernstein Elsa,Wien,Hamburg-Eimsbüttel,1866-10-28,1949-07-12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1036555941,Bernstein,Karoline,Bernstein Karoline,Berlin,Berlin,1787-07-08,1838-09-18,Bornstein Karoline,"Ps. E. Karoli, Lustspieldichterin um das Iahr 1831.",.,.,.,.,.,.,.,.,.,.,.,.,.
100799558,Berthet,Elie,Berthet Elie,Limoges,.,1815-06-08,1891-02-03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1071551795,Berthold,Frl. Helene,Berthold Helene,Schwiebus,.,1855-05-25,1925-08-21,Berthold Helene,Gottes kleines Mädelchen. Berlin. Deutsch.-evang. Buchu. Traktatgesellsch.,"‒ Gottes Wege. – Gottes Stimme. Zwei Erzählgn. aus dem Leben. 16. (61) Herborn 1894, Buchh. d. Nass. Kolportagevereins. n –.20 ‒ Gottes Wort u. Gottes Wege. (184) Ebda. 1894. n 1.– ‒ Güldenstern. Eine Familiengeschichte. 12. (32 m. 1 Bild) Cöthen 1893, Schriften-Niederlage des evang. Vereinshauses. nn –.15 ‒ Heimgebetet. 16. (24.) Stuttgart 1891, Buchh. der evang. Gesellschaft. n –.10 ‒ Im alten Hause. Weihnachtsgeschichte. 8. (24) Cöthen 1893, Schriftenniederlage d. ev. Vereinshauses. nn –.10 ‒ In der Leidensschule. 2 Erzählgn. fürs christl. Volk. 12. (296) Eisleben 1893, Christl. Verein im nördl. Deutschland. geb. –.80 u. 1.25 ‒ In Feindesland. Eine Weihnachtsgeschichte aus dem grossen Kriege. 12. (55) Herborn 1892, Buchh. d. Nass. Kolportagevereins. n –.20 ‒ Irret euch nicht, Gott lässt sich nicht spotten. 12. (24 m. 1 Bild) Hamburg 1881, Agentur d. Rauhen Hauses. n –.10 ‒ Lieschen u. ihre Grossmutter. Berlin. Deutsch.-evang. Buchu. Traktatgesellsch. ‒ Maria u. Martha. Iahrb. f. evang. Frauen u. Jungfrauen u. deren Vereine auf d. Iahr 1896. (Begr. v. Johanne Boy) Hrsg. v. Helene Berthold, 7. Iahrg. 12. (96 m. Bildern u. 1 Farbendr.) Cöthen 1896, Schriftenniederlage des evang. Vereinshauses. bar nn –.25 ‒ Nicht verachten. Berlin, Deutsch-evang. Buchu. Traktatgesellschaft. ‒ Selige Weihnachten. Ebda. ‒ Strenge Gerechtigkeit. 8. (25) Cöthen, Evang. Vereinshaus. n –.10 ‒ Um des Glaubens willen. Historische Erzählg. aus dem 17. Iahrh. 12. (130) Berlin 1894, Hauptverein f. christl. Erbauungsschriften. n –.70 ‒ Unter die Räuber gefallen. – Übers Iahr. – Endlich. Drei Weihnachtsgeschichten f. jung u. alt. 12, (64) Herborn 1892, Buchh. des Nass. Kolportagevereins. n –.20 ‒ Unterm Christbaum in 3 Iahrhunderten. 6 Weihnachtsgeschichten aus dem Leben. 12. (177 m. farb. Titelbild) Edba. 1892. n –.80, geb. n 1.–, eleg. geb. n 1.20 ‒ Verirrt u. wiedergefunden. 8. (25) Cöthen, Evang. Vereinshaus. n –.10 ‒ Züge aus dem Leben bekehrter Heiden. 3 Hfte. Berlin, Deutsch-evang. Buchu. Traktatgesellschaft.",Berthold Helene,Biographie u. weitere Werke s. Band I.,"‒ Denn er hat seinen Engeln befohlen über dir! Erzählg. 12. (24) Köthen 1897, Dessau, Bachhandlung des Evangelischen Vereinshauses. –.10 ‒ Im Waisenhause. 12. (24) Stuttgart 1897, Buchhandlung der Evangelischen Gesellschaft. –.10",.,.,.,.,.,.,.,.,.
118620614,Berthold,Luise geb,Berthold Luise,.,.,1797,1870,Robinson Albertine Therese,"geb. von Iacob, Ps. Talvj, geboren den 26. Januar 1797 zu Halle, gestorben den 13. April 1870 in Hamburg. Werke s. Talvj.",.,.,.,.,.,.,.,.,.,.,.,.,.
1202635008,Bertram,Frl. Anna,Bertram Anna,.,.,1842,1938,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
140689605,Besobrasof,Marie,Besobrasof Marie,.,.,1857,1914,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116154985,Bessmertny,Frau Marie,Bessmertny Marie,.,.,1854,1934,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10121653X,Bethusy-Huc,Frau Gräfin Valesca,Bethusy-Huc Valesca,Sagan,Lugano,1849-06-15,1926-05-27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
111305942,Betty,Tante,Betty Tante,Oßweil,Lindau (Bodensee),1801-05-31,1873-09-09,Betty Tante,"Nürnberger Puppenkochbuch. 11. Aufl. 16. (64) Nürnberg 1898, I. Ph. Raw. –.50",.,Christine Tante,"Drei Erzählgn. aus unserer Zeit. 1. Anatôle. 2. Die beiden Elisen. 3. Eine ereignisreiche Nacht. 8. (262) Zürich 1884, Schröter. n 2.–, geb. nn 3.50",.,Riedl Christine Charlotte,"Lindauer Kochbuch. 12. Aufl. 8. (763 m. 8 Taf.) Lindau 1894, Th. Stettner. 3.60; kart. 4.20; geb. 4.60",.,.,.,.,.,.,.
1032972718,Beust,Phil,Beust Phil. Wilhelmine,Bielawa,.,1786-04-04,1834-04-16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
143368494,Beutner,Renata,Beutner Renata,Berlin,Berlin,1862-06-02,1939-04-27,Pfannschmidt Renata,"geb. Beutner, Berlin NW, Calvinstrasse 21, geboren zu Berlin am 2. Juni 1862 als Tochter des Chefredakteurs der Neuen Preussischen (Kreuz-) Zeitung, Dr. Th. Beutner. Ihr Talent bekundete sich schon in früher Kindheit, und ihre ersten Gedichte wurden in kleineren Blättern gedruckt, als sie achtzehn Iahre alt war. Ihre späteren Gedichte und Erzählungen finden sich verstreut in der »Neuen Christoterpe«, dem »Daheim«, Daheimkalender, dem Knappschen Liederschatz, verschiedenen Sonntagsblättern, dem bei Wolf in Dresden erschienenen Sammelwerk »Gottes Wort im Hause«, in Kalendern und anderen Zeitschriften. Seit 1890 ist sie verheiratet mit dem Chordirektor und Musiker Werke s. auch Renata Beutner.","‒ Aus Tirol u. Oberbayern. Eine Sammlg. v. Nov. In Vorbereitung. ‒ Gedichte. 8. (230) Berlin 1898, M. Warneck. eleg. Ausstattg. m. Goldschn. u. zweifarbigem Druck 3.– ‒ Schneeflocken. Eine Sammlg. volkstüml. Kinderschriften in einzelnen Heften. 8. Ebda. 1898. in eleg. Umschlag m. zweifarbigem Druck à –.10",.,.,.,.,.,.,.,.,.,.,.,.
119042436,Beyer,Frl,Beyer Anna,.,.,1864,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116160187,Beyrich,Clementine,Beyrich Clementine,Delitzsch,Berlin,1825-10-09,1896-11-26,Helm Clementine,"Mädchen und Schriftstellername für Clementine Beyrich, geboren den 9. Oktober 1825 in Delitzsch, gestorben 1896.","‒ Auf Irrwegen u. andere Erzählgn. f. junge Mädchen. 8. (215) Stuttgart 1891, C. Krabbe. geb. n 3.– ‒ Backfischchens Leiden und Freuden. (1. Aufl. 1862.) 50. Aufl. 8. (232) Leipzig 1897, G. Wigand. 2.25; geb. 3.– ‒ Das Heimchen. Erzählg. f. junge Mädchen. 8. (408 m. 1 Bild) Bielefeld 1894, Velhagen & Klasing. geb. n 5.50 ‒ Das Kränzchen. Erzählg. f. j. Mädchen. 7. Aufl. 8. (347 m. 6 Bildern) Ebda. 1895. geb. n 5.50 ‒ Das vierblättrige Kleeblatt. Erzählg. aus den Freiheitskriegen f. junge Mädchen. 4. Aufl. 8. (343) Ebda. 1895. geb. n 5.50 ‒ Der Weg zum Glück. Nach I. Colombs Werk »Deux mères« für die deutsche Jugend frei bearbeitet. 8. (240 m. H.) Leipzig 1881, Hirt & Sohn. n 5.–; geb. n 7.– ‒ Die Brieftaube. Zur Unterhaltg. f. die Jugend. 8. (252) Leipzig 1871, G. Wigand. 2.40; geb. 3.– ‒ Die Geschwister Leonhard. Erzählg. f. junge Mädchen. 8. (337 m 6 Bildern) Bielefeld 1891, Velhagen & Klasing. geb. n 5.50 ‒ Die Glücksblume von Capri. Erzählg. 2. Aufl. 16. (182) München 1887, Richter & Kappler. geb. m. Goldschn. n 3.– ‒ Die kleine Herrin. Erzählg. f. Mädchen. Freie Bearbeitg. v. »Prinzesse Rosalba«, v. Mme. Chéron de la Bruyère. 8. (167 m. 11 Tonbildern.) Stuttgart 1895, F. Loewe. geb. 5.– ‒ Die Stiefschwestern. Erzählg. f. junge Mädchen. 2. Aufl. 8. (276 m. 6 Bildern.) Bielefeld 1891, Velhagen & Klasing. geb. n 5.50 ‒ Doris u. Dora. Erzählg. f. junge Mädchen. Freie Bearbeitg. d. franz. Erzählg. Chloris et Jeanneton v. Josephine Colomb. 4. Aufl. 8. (236 m. Abbildgn.) Leipzig 1895, F. Hirt & Sohn. 4.50; geb. 6.– ‒ Dornröschen u. Schneewittchen. Erzählg. f. junge Mädchen. 3. Aufl. 8. (354) Bielefeld 1893, Velhagen & Klasing. geb. n 4.50 ‒ Drei Erzählungen für junge Mädchen. 3. Aufl. 8. (299) Leipzig 1889, G. Wigand. n 2.75; geb. n 3.50 ‒ Elfchen Goldhaar. Erzählg. f. heranwachs. Mädchen. 4. Aufl. 8. (348 m. 6 Tonbildern.) Bielefeld 1897, Velhagen & Klasing. geb. n 5.50 ‒ Elfriede. Erzählg. f. d. Jugend. Freie Bearbeitg. v. L Ulbachs. »Le Parrain de Cendrillon«. 3. Aufl. 8. (176 m. 16 Bildern u. 3 Farbdr.) Stuttgart 1895, F. Loewe. geb. 5.– ‒ Frau Theodore. Ein Familienbild. 3. Aufl. 8. (372) Bielefeld 1889, Velhagen & Klasing. geb. n 5.50 ‒ Friedas Mädchenjahre u. andere Erzählgn. f. junge Mädchen. 8. (214) Stuttgart 1892, C. Krabbe. geb. n 3.– ‒ Hans u. Hanna. Erzählg. f. d. heranwachs. Jugend. 8. (323 m. 6 Bildern.) Bielefeld 1895, Velhagen & Klasing. geb. n 5.50 ‒ Junge Mädchen. Ein Almanach, hrsg. v. C. H. u. Frieda Schanz. 2. Iahrg. 8. (476 m. farb. Illustr.) Ebda. 1896. geb. 8.– ‒ Kinder-Lieder. 8. (46 m. H.) Leipzig 1861, G. Wigand. 1.80",Helm Clementine,"Klein Dinas Lehrjahr. Erzählg. f. jüngere Mädchen. 2. Aufl. 8. (320) Bielefeld 1896, Velhagen & Klasing. geb. n 5.50","‒ Leni v. Hohenschwangau. Erzählg. f. erwachsene junge Mädchen. 3. Aufl. 8 (252 m. Titelbild.) München 1894, Richter & Kappler. n 4.–; geb. n 5.– ‒ Lichtu. Schattenbilder. Skizzen u. Erzählgn. 2. Aufl. 8 (229) Leipzig 1881, G. Wigand. n 2.50; geb. n 3.25 ‒ Lillis Jugend. Erzählg. f. junge Mädchen. 9. Aufl. 8. (300) Ebda. 1896. n 2.70; geb. n 3.50 ‒ Märchen. Für Kinder von 10–15 Iahren. 2. Aufl. 8. (208 m. 8 L.) Stuttgart 1864, Chelius. kart. 3.75 ‒ Märchenbuch. 3. Aufl. 8. (230) Bielefeld 1897, Velhagen & Klasing. geb. n 3.– ‒ Prinzesschen Eva. Erzählg. f. heranwachs. Mädchen. 7. Aufl. 8. (299 m. 8 Bildern.) Ebda. 1895. geb. n 550 ‒ Professorentöchter. Eine Erzählg. f. junge Mädchen. 4. Aufl. 8. (375) Ebda. 1897. geb. n 5.50 ‒ Röschen im Moose. Erzählg. f. heranw. Mädchen. 3. Aufl. 8. (317 m. 6 Bildern.) Ebda. 1896. geb. n 5.50 ‒ Schloss Herzberg. Ein Harzgedicht. 12. (251) Berlin 1883, Gaertner. geb. m. Goldschn. n 4.– ‒ Seines Glückes Schmied. Erzählg. f. junge Mädchen. 2. Aufl. 8. (347) Bielefeld 1890, Velhagen & Klasing. geb. n 5.50 ‒ Siebenmeilenstiefeln. Erzählgn. 8. (245 m. H.) Leipzig 1878, Hirt & Sohn. kart. 3.50 ‒ Tante Regine Erzählg. f. junge Mädchen. 8. (372 m. 6 Bildern.) Bielefeld 1892, Velhagen & Klasing. geb. n 5.50 ‒ Treu Hannchen u. andere Erzählgn. 8. (263) Ebda. 1883. geb. n 5.50 ‒ Unsere Dichter. Ein Liederstrauss. 8. (561 m. Illustr.) Berlin 1885, Tonger & Greven. geb. m. Goldschn. bar 7.– ‒ Unsere Selekta. Erzählg. f. junge Mädchen. 4. Aufl. 8. (336) Bielefeld 1895, Velhagen & Klasing. geb. n 5.50 ‒ Unser Sonnenschein. Erzählg. f. junge Mädchen. 8. (348 m. 6 Tonbildern.) Ebda. 1897. geb. n 5.50 ‒ Unterm Schnee erblüht. Erzählg. 4. Aufl. 16. (144 m. e. Abbildg.) München 1890, Richter & Kappler. geb. m. Goldschn. n 3.– ‒ Vater Carlets Pflegekind. Nach I. Colombs Werk, La fille de Carilès. 8 (208 m. Illustr.) 5. Aufl. Leipzig 1889, Hirt & Sohn. 4.50; geb. 6.– ‒ Vom Backfisch zur Matrone. Erzählg. f. junge Mädchen. 3. Aufl. 8. (344) Bielefeld 1895, Velhagen & Klasing. geb. n 5.50",.,.,.,.,.,.,.,.,.
1055113746,Bezeredy,Amalie,Bezeredy Amalie,.,.,1804,1837,Bezerédy Amalie,"Novellen und Erzählungen. Aus hinterlassenen Papieren. 2 Bde. Die Pädagogen. Die Mädchenschule. Die Schicksalsschule. Die Brautschau. Musikalische Bekanntschaften. Cäcilie. 2 Bde. 12. (497 u. 373) Pressburg 1840, C. Heckenast Nachf. R. Drodtleff. 8.–, ermäss. Pr. 2.–",.,.,.,.,.,.,.,.,.,.,.,.,.
116161787,Bibus,Ottilie,Bibus Ottilie,Jindřichův Hradec,.,.,.,Mayer-Bibus Ottilie,Biographie und Werke s. Ottilie Bibus.,.,.,.,.,.,.,.,.,.,.,.,.,.
1152974432,Bickel,Auguste,Bickel Auguste,.,Darmstadt,1834-04-08,1920-12-29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116162937,Bieber-Böhm,Frau Rechtsanwalt Hanna,Bieber-Böhm Hanna,.,Berlin,1851-02-06,1910-04-15,Böhm Hanna,Biographie s. Hanna Bieber-Böhm.,"‒ Dunkle Bilder. 2 Bde. 4. (24 Steintaf.) (Erschien in Lfgn.) Berlin 1881, A. Duncker. (1 u. 2. Bd. n 40.–) geb. n 20. ‒ Märchenbilder. 4. Ebda.",.,.,.,.,.,.,.,.,.,.,.,.
1089730926,Biedermann,Freifrau Clara Magdalene Ernestine von,Biedermann Magdalene Ernestine Clara,.,.,1859-09-03,1917-10-26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
124536670,Bigot,Charl,Bigot Charl,.,.,1843,1936,Bigot Madame,"Eine internationale Ehe. Autor. Übersetz. a. d. Engl. 8. (160) Stuttgart 1896, I. Engelhorn. bar n –.50, geb. n –.75",.,Jeanne Marie,s. Jeanne Marie v. Gayette-Georgens.,"‒ Elisenhof. Ein Rom. aus der grossen Welt. 8. (402) Breslau 1844, Kern. 5.25 ‒ Gedichte. 16. (240) Leipzig 1850, Thomas. geb. 3.– ‒ Luigia Sanfelice od. die Revolution in Neapel. Histor. Rom. 3 Bde. 8. (688) Ebda. 1850. 10.50",.,.,.,.,.,.,.,.,.
117347566,Biller,Frl. Clara,Biller Clara,Breslau,Dresden,1833-03-07,1913-04-16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
