gnd,werk
1102900117,Lustige Reiter. (Ausgestanzt.) 12. (15 m. z. T. farb. Bildern.) Ebda. 1895..40
1102900117,Vögleins Lied u. Lust 4. (16 m. z. T farb. Bildern.) Ebda. .75
1102900117,Was Vöglein singt u. im Wald erklingt! 8. (14 m. z. T. farb. Abbildgn.) Ebda. 1893. kart. n .50
1102900117,"Zeichensprache der Indianer. Übers. aus dem Engl. nach G. Mallers. 4. (88) Sonderabdruck ans den »Mitteilgn. d. Ver. f. Erdkunde«, Halle a. S. 1882. ‒ 1001 Nacht. Eine Auswahl der schönsten morgenländ. Märchen. Mit 6 farb. Vollbildern u. vielen Text-Illstr. 4 (123) Ebda. 1896. geb. 3."
1267445580,Klassisches Vergissmeinnicht. Gedenkbuch für alle Tage des Iahres. Ausg. I 21. Aufl. 16. (366 m. 4 farb. Bildern.) Ebda. 1895. geb. in Leinw. m. Goldschn. n 2.
1267445580,"Knospen u. Blumen. Lieder der Liebe u. Freundschaft. Auch u. d. T.: Der Liebe Lenz. 3. Aufl. 12. (312 m. Illustr.) Stuttgart, Greiner & Pfeiffer. geb. in Leinw. m. Goldschn. n 4."
135716144,"Neues Kochbuch f. bürgerliche u. feine Küche. 6. verbess. u. vermehrte Aufl. 12. (332) Grünstadt 1897, I. Schäffers Buchh. geb. 2.20"
119338556,"Kinderbeschäftigungen. 8. (32 m. 8 L.) Stuttgart 1862, Risch. 1 "
119338556,Kinderleben. 4. (19 m. 6 L.) Ebda. 1862. 1.20
119338556,"Kleine Geschichten den Kindern erzählt. 12. (115) Augsburg 1851, Kollmann. geb. 1.15"
119338556,"Kleine Theaterstücke für die Iugend. 2 Bdchn. Mit je 1 Farbendr. 3. Aufl. 12. (152 u. 144) Donauwörth 1890, Auer. geb. à n 1."
119338556,"Lebensbilder. 8. (202) Stuttgart 1856, Risch. 2.10"
119338556,"Lieb und Treu. Nov.-Büchlein. 8. (224) Stuttgart 1884, Bonz & Co. n 3. geb. n 4."
119338556,"Mancherlei. 16. (476 m. 1 L.) Freiburg 1868, Herder. geb. 3.60"
119338556,"Mutterliebe u. Muttertreue. 8. (19 m. 7 kolor. Steintaf.) Stuttgart 1854, Risch. 2.50"
119338556,"Namenbüchlein. 2 Bde. 8. (200) München 1861, 63, Merhoff. kart. à 1.20"
119338556,"Neues Kindertheater. Eine Sammlg. beliebter Theaterstücke zum Selbstaufführen f. d. Iugend. No. 18. (3. Aufl.) 12. Donauwörth (1890), Auer. à .30"
119338556,"Scherz u. Ernst. Erzählgn. f. die Iugend. 2. verm. Aufl. 16. (185) Stuttgart 1871, Risch. geb. 2.50"
119338556,"Unsere Kleinen. 2. Ausg. 16. (99) Freiburg 1870, Herder, geb. 1.50, Stuttgart 1874, Risch. 1.25; geb. 1.50"
119338556,"Wahre Geschichten. 8. (320). München 57, Lentner. nn 1.25"
11867353X,"Aus Goethes Freundeskreise. Erinnerungen der Baronin Ienny von Gustedt. Braunschweig 1892, Gg. Westermann."
11867353X,"Clifford, Wahrhaftigkeit. Übers. Berlin 1893, Ferd. Dümmler."
11867353X,"Deutsche Fürstinnen. 8. (III, 285) Berlin 1893, Gebr. Paetel n 4.; geb. bar n 5.50"
11867353X,"Die Bürgerpflicht der Frau. Vortrag, geh. in Dresden, Breslau u. Berlin. 8. (24) Berlin 1895, F. Dümmlers Verlag. n .30"
11867353X,"Die neue Frau in der Dichtung. 8. (40) Stuttgart 1896, I. H. W. Dietz. n 1."
11867353X,"Die Stellung der Frau in der Gegenwart. Vortrag, geh. in der Abt. Berlin in der Arbeiterbildungsschule. 8. (24) Berlin 1895, F. Dümmler. n .30"
11867353X,"Frauenfrage u. Sozialdemokratie. Reden anlässlich d. internationalen Frauenkongresses zu Berlin. 8. (20) Berlin 1896, Buchh. des Vorwärts. n .30"
11867353X,"Zur Beurteilung der Frauenbewegung in England u. Deutschland. (Aus: Archiv für soziale Gesetzgebg. u. Statistik.) 12. (47) Berlin 1896, C. Heymanns Verl. n .80"
116366176,Die alte Mühle. Rom. 2 Bde. 8. (485) Ebda. 1884. n 8.
116366176,"Die Nadel der Benten. Iapan. Rom. a. d. Ietztzeit. 2 Bde. 8. (498) Berlin 1884, Ianke. n 9."
116366176,"Die Schrödersche Bearbeitg. d. »Hamlet« u. ein vermutlich in ihr enth. Fragment Lessings. 8. (35) Breslau 1890, Freund. n 1."
116366176,"Freifrau Sibylle v. Kirchheim. Rom. 2. Bde. 8. (548) Berlin 1886, Ianke. n 9."
116366176,"Iapanische Märchen, gesammelt u. der Kinderwelt erzählt. 8. (124 m. 6 Farbendr.) Glogau 1889, Flemmig. geb. n 3."
116366176,"Wild Röschen. Idylle. 8. (108) Halle 1876, Pfeffer. n 1.50"
1161379665,"Vom Regen in die Traufe. Eine leichtsinnige Geschichte. 8. (225) Elberfeld 1896, Lucas. 3."
116551593,"Else Benker, Bilder aus vergangenen Tagen. Nov. 1887."
174295448,"Die Frau comme il faut. (Die vollkommene Frau.) 2., 3. u. 4. Aufl. 8. (480) Wien 1896/97, Verlag d. Wiener Mode. geb. 6."
1206899263,"Life in an English boarding school. In 3 parts. Appendix: Letters. (In 1 Bde.) Hilfsbuch zur Erlerng. der engl. Sprache. 8. (178) Bielefeld 1895, Velhagen & Klasing. geb. n 2."
116776439,"Das Frauenglück. Herzensworte f. die Frauenwelt. 8. (140) Leipzig (1884), C. A. Koch. n 1.50; geb. n 2.50"
116776439,Die letzten eines alten Geschlechts. Erzählg. 1879.
116776439,Die Tochter des Priesters. Rom. 1879.
116776439,"Ein einsames Leben. 8. (40 m. Bildnis) Lübeck 1896, Verlag der Novellen-Bibliothek. n .25"
116776439,"Ein Frauenherz. 8. (144) Dresden 1896, E. Pierson. n 2."
1028198051,"Elementarbuch d. engl. Sprache f. deutsche Schulen. 8. (224) Stuttgart 1894, P. Neff, Verlag. 2.; geb. 2.50"
1028198051,Engl. Lesebuch. Ausw. v. Lesestücken in Prosa u. Poesie f. d. Oberklassen höh. Unterrichtsanstalten u. d. Privatgebrauch. 8. (412) Ebda. 1892. 3.; geb. 3.40
1028198051,Englisches Übungsbuch. Materialien z. Übersetzen a. d. Deutschen in das Englische u. method. Anleitg. z. Anfertigg. v. engl. Aufsätzen f. d. Oberklassen höherer Lehranstalten. 8. (164) Ebda. 1897. n 2.; geb. n 2.50
1028198051,Erstes engl. Lesebuch. 8. (255) Ebda. 1890. 2. Aufl. 1898. n 1.80; geb. n 2.
1028198051,Sammlg. engl. Gedichte f. Schule u. Haus. 8. (135) Ebda. 1894. 1.20; geb. 1.50
1028198051,Schulgrammatik der engl. Sprache f. d. Oberklassen höherer Lehranstalten. 8. (201) Ebda. 1896. n 2.; geb. n 2.50
1028198051,"Stories from English History. Für den Schulgebrauch herausgegeben. I. Teil: Einleitg. u. Text. II. Teil: Anmerkgn. u. Wörterverzeichnis. G. Freytag, Leipzig, 1897. geb. 1.80"
1074041836,"Das Vermächtnis des Pilgers. Erzählg. a. d. Zeit der Kreuzzüge. 8. (88) Stavenhagen 1889, Beholtz. n .75; geb. n 1."
1074041836,"Erinnerungsblätter aus dem Leben e. deutschen Lehrerin. 8. (147) Weimar 1889, Iüngst & Co. n 1.50; geb. n 2.25"
1074041836,"In Gottes Namen. Erzählg. f. d. Iugend. 8. (32 m. 4 Bildern). Nürnberg, Verlag der Kinder-Gartenlaube, 1896. n .40"
117052744,Das Schloss zu Wimmis. Rom. 8. (267) Ebda. 1864. 3.75
117052744,Deutsche Geschichte v. 18151870. 20 Vorträge. 8. (627) Ebda. 1875. 7.
117052744,"Dichterstimmen aus Heimat u. Fremde. 5. Aufl. 16. (593 m. H.) Halle a. S. 1876, Herm. Gesenius. geb. n 6."
117052744,"Die Frau. Hinterlassene Aufsätze, Abhandlgn. u. Berichte zur Frauenfrage. Mit Portr. d. Verfass. in Stahlst. 8. (470) Ebda. 1878. n 6., geb. n 7."
117052744,"Die Frauen u. ihr Beruf. 5. Aufl. 8. (278) Leipzig 1884, Thomas. geb. m. Goldschn n 5."
117052744,"Frauenherz. Gedichte. 2. Aufl. 8. (155) Hamm 1864, Halle, Herm. Geseniu. 2.25, geb. 3."
117052744,"Klara Dettin. Erzählendes Gedicht. 16. (94) Leipzig 1874, Thomas. 1.20"
117052744,"Nachgelassene belletristische u. vermischte Schriften. 2 Bde. 8. (736) Frankfurt a. M. 1878, Sauerländer. n 10."
117052744,"Praktische Versuche zur Lösg. der Frauenfrage. 8. (80) Berlin 1870, Ianke. n 1. ‒ Über Verkaufsu. Vermittlungsstellen f. weibl. Handarbeit. 8. (27) Leipzig 1873, Thomas. n .40 ‒ Über weibl. Berufsarten. In »Was willst du werden?« 8. (53) Darmstadt 1871, Köhlers Verl. n .80"
117052744,"Weihnachtsmärchen. 2. Aufl. 8. (124 m. 8 chromolith. Bildern.) Glogau 1882, Flemming. geb. 2.50"
117016659,"Aus dänischer Zeit. Bilder u. Skizzen. 2. Aufl. 8. (489) Gesamtausgabe. Leipzig 1897, Fr. Wilh. Grunow. geb. n 5.50"
117016659,"Das Dreigespann Eine Erzählg. f. junge Mädchen. Bielefeld 1897, Velhagen & Klasing. geb. 5.50"
117016659,"Die Allerjüngste. Erzählg. f. junge Mädchen. 8. (284 m. 4 Farbenh) Leipzig 1895, Geibel & Brockhaus. geb. n 6.; in Celluloid n 7."
117016659,"Die braune Marenz u. andere Geschichten. 8. (332) Leipzig 1897, Fr. Wilh. Grunow. geb. n 4.50"
117016659,"Eine von den Iüngsten. Erzählg. f. junge Mädchen. 3. Aufl. 8. (335 m. Abbildgn.) Leipzig 1894, Geibel & Brockhaus. geb. n 6."
117016659,"Erika. Aus dem Leben einer einzigen Tochter. 8. (333 m. 6 Tonbildern) Bielefeld 1896, Velhagen & Klasing. geb. n 5.50"
117016659,"Erzählungen für das Volk. 8. (256) Hamburg 1890, Evangelische Buchhandlung. n .60; geb. n 1.20"
117016659,"Geschichten aus Holstein. 8. (272) Leipzig 1896, Fr. Wilh. Grunow. geb. n 3.50"
117016659,Licht u. Schatten. Eine Hamburger Geschichte. 8. (387) Ebda. 1895. geb. n 5.
117016659,"Philipp Reift's Schicksale. Erzählg. aus dem 16. Iahrh. 8. (48) Hamburg 1886, Evangelische Buchhandlung, n .10"
116058021,Die Deutschen u. Engländer im Mond. Lustsp. (122)
1199914142,"Dasselbe. 8. (206 m. 4 kolor. B.) Berlin 1870, Luckhardt. 3.50"
1199914142,"Erzählungen für die Iugend. 2. Aufl. 8. (175 m. 3 Steintaf.) Kassel 1870, C. Luckhardts Verlag. geb. 3."
1199914142,"William Penn, od. die Zustände Englands 16441718. Aus dem Engl. frei übertr. v. E. B. 8. (215) Leipzig 1854, Brockhaus. n 4."
117160989,"Der grosse Kaiser. Poetisches Lebensbild Wilhelms I. mit Musik u. lebenden Bildern. 12. (31) Diez 1897, Th. H. Meckel. bar n .60"
11861049X,Dasselbe. 2. Bd. A. u. d. T.: Die beiden Schwestern. Veronika. Zwei Erzählgn. 8. (144) Ebda. 1843. 3.75
11861049X,"Briefsteller für Damen. 9. Aufl., bearb. u. verm. durch Briefe berühmter Frauen v. Karoline S. I. Milde (Karoline Similde Gerhard). 12. (404) Leipzig 1895, C. F. Amelang. geb. 3."
11861049X,"Das Majorat. Rom. 8. (319) Leipzig 1850, C. L. Fritsche. 4."
11861049X,"Der bürgerliche Haushalt in seinem ganzen Umfange. 2 Tle. 1. Tl.: Die bürgerl. Kochkunst. 2. Tl. Das Hausu. Wirtschaftsbuch. 8. (737) Iena 1844, Frommann. 3.50"
11861049X,"Der Prinz von Viana. Histor. Rom. 2 Tle. 8. (305) Leipzig 1853, C. F. Schmidt. 7.50"
11861049X,"Die beiden kleinen Seiltänzer. 16. (219) (1835) 1853, Zerbst, Leipzig, Klinkhardt. 3."
11861049X,"Die Edelfrau von Kellingdorfen. Histor. Rom. 12021205. 3 Tle. 8. (604) Iena 1847, Luden. 11.25"
11861049X,"Die erste Liebe eines Prinzen. Histor. Rom. 2 Tle. 8. (400) Leipzig 1841, Gebr. Reichenbach. 6."
11861049X,"Die Holsteiner in Amerika. 16. (176) Stuttgart 1888, Chelius. 2."
11861049X,"Die Hütte am Gigontonhonha od.: Die Auswanderer nach Brasilien. Erzählg. f. d. Iugend. 8. (104) Wesel 1852, I. Bagel & Co. 1."
11861049X,"Die kleinen Waisen. 8. (187 m. 6 Lith.) Berlin 1853, Hasselberg. 1.80"
11861049X,"Elegantes Geschenk zur Fest-, Namensu. Geburtsfeier. Zugleich e. Gedenku. Erinnerungsbüchlein f. Reisende am Rhein-, Main-, Moselu. Neckarstrande. Enthalt. 60 Stahlu. Kupfertafeln zu den schönsten Volkssagen; 26 Portraits berühmter u. interessanter Personen u. 26 Genrebilder; im ganzen 112 Stahlu. Kupferstiche, mit den dazu gehörenden Sagen u. Beschreibgn. 8. (184) Heidelberg 1841, Engelmann, Leipzig, Barth. 10.50"
11861049X,"Feierstunden od.: Märchen u. Erzählgn f. d. Iugend. 2. Aufl. 8. (210) Leipzig 1851, C. F. Schmidt. 1.50"
11861049X,Ferdinand u. Isabella. Histor. Rom. 14681474. 2 Tle. 8. (499) Ebda. 1851. 2.20
11861049X,"Heinrich u. Marie od. die verwaisten Kinder. 3. Aufl. 16. (250 m. Lith.) Berlin 1868, Plahn. 3."
11861049X,"Hundert kleine Geschichten. Das allerliebste Buch f. gute kleine Kinder. 6. Aufl. 8. (220 m. 6 kolor. Lith.) Düsseldorf 1884, A. Bagel. 2."
11861049X,"Myosotis. Erzählgn. u. Nov. 2 Bde. Auch u. d. Titeln: Helene v. Tournon. König Robert. Die Freundschaftsprobe. Peter Schöffer. Eine einfache Geschichte. Fünf Erzählgn. 8. (596) Leipzig 1842, Taubert. 9."
11861049X,"Polixena. Histor. Rom. 3 Tle. 8. (678) Iena 1844, Luden. 11.25"
11861049X,"Sagenbibliothek. Norddeutsche Sagen, Volksmärchen u. Legenden. 2 Tle. 3. Aufl. 8. (462) Leipzig 1866, C. F. Schmidt. 1.50"
1033927880,"Märchen u. Skizzen. 12. (156) Wismar 1891, Hinstorffs Verlag. n 2., geb. in Leinw. n 2.80"
116142855,"Das Glück eines Weibes. 8. (170) Berlin 1860, Levit. 4 "
116142855,Den Frieden finden. 8. (223) Ebda. 1864. 3.75
116142855,"Denksprüche f. das weibliche Leben. Gesammelte Perlen zur Veredig. f. Geist, Gemüt u. Herz. 23. Aufl. Hrsg. v. Elise Polko. 8. (256) Bremerhaven 1884, v. Vangerow. geb. m. Goldschn. 6."
116142855,"Der Armut Leid u. Glück. 3 Tle. 8. (1040) Leipzig 1857, Brockhaus. 12."
116142855,"Der Augenarzt. 8. (173) Berlin 1854, Hasselberg. n 1."
116142855,"Der Glücksstern. 8. (318) Berlin 1857, Levit. 4.50"
116142855,"Die Kinder des Hauses. 8. (183) Wien 1863. Typogr.-lit.-artist. Anstalt, n 3."
116142855,"Die Liebe als Führerin der Menschheit durchs Erdenleben zu Gott. 16. (249) Danzig 1863, Kafemann. 3., geb. 4.50"
116142855,"Die Preussen in Prag. Rom. 8. (383) Forst 1867, Bromberg, Aronsohn. n 6."
116142855,"Ein Arzt in einer kleinen Stadt. Rom. 2 Bde. 2. Aufl. 16. (474) Prag 1855, Leipzig, E. I. Günther. 4."
116142855,Ein Bürgermeister. 3 Bde. 16. (871) Ebda. 1862. n 1.
116142855,Ein Lebenstraum. 3 Bde. 16. (713) Ebda. 1855. n 2.
116142855,Erinnerungen e. Grossmutter. Rom. in 2 Bdn. 16. (566) Ebda. 1856. n 1.
116142855,"Frauen Liebe u. Leben. Ein Brautgeschenk. 3. Aufl. 8. (237) Davos 1893, Hugo Richter. geb. in Leinw. m. G. n 4."
116142855,"Frauen-Los. Rom. in 2 Bde. 16 (554) Königsberg, Samter. 6."
116142855,"Früchte aus dem Garten des Lebens. Ihren jungen Freundinnen gewidmet. 3. (Titel-)Aufl. 12. (VII, 157) Davos 1897, Hugo Richter. geb. m. Goldschn. 1.80"
116142855,"Gedichte. 16. (212) Prag 1858, Hamburg, Richter. 2.70, geb. n 4."
116142855,"Herzensworte. Mitgabe auf den Lebensweg. Deutschlands Töchtern gewidmet. 25. Aufl. 8. (242) Bremerhaven 1895, L. v. Vangerow. geb. in Leinw. m. Goldschn. n 3.50"
116142855,"Im Wellenrauschen. Rom. 2 Bde. 16. (672) Iena 1869, Hermsdorf. 7.50"
116142855,"In stillen Stunden. 16 (263) Berlin 1861, Schotte & Co. geb. 4.50"
116142855,"Iohannes Kepler. 2. Abt. 3. Bde. 8. (567) Leipzig 1865, Günther. à 2."
116142855,Künstlerliebe. 16. (259) Ebda. 1859. n 1.
116142855,"Laute Welt  stilles Herz. 8. (272) Berlin 1860, Levit. 4.50"
116142855,"Lebensbilder. 2 Bde. 16. (388) Leipzig 1858, E. I. Günther. 2."
116142855,"Novellen. 2. Bde. 8. (422) Iena 1853, Costenoble. 7.50 ‒ Über die Erziehung d. weiblichen Geschlechts. 2. Aufl. 16. (46) Berlin 1858, Levit. .60"
116142855,"Versuch e. Selbstbiographie. 16. (84) Prag 1857, Leipzig, E. I. Günther, n 1."
116142855,"Walter Kühne. 16. (120) Berlin 1860, Levit. 2.50"
1149855061,"Die Spiele in der Mädchenschule. Auswahl v. Turnspielen. 8. (135 m. 40 Fig.) Gotha 1895, E. F. Thienemann Verlag. kart. n 2.40"
117190071,"Der Frauen Pflicht in eigener Sache. (Vortrag) 8. (32) Zürich 1894, C. Schmidt. n .50"
117190071,"Wahrheiten für Frauen. 8. (32) Weimar 1891, Weimarer Verlags-Anstalt. n .30"
1078025215,Das achte Gebot. 1889.
1078025215,Der Wirkungskreis der Frau. 1889
1078025215,Die Lehrerin. 1890.
1078025215,Die Stimme der Mutter. Nov. 1896.
1078025215,Die Waldkapelle. Nov. 1886.
1078025215,Durch Kraft. Nov. 1894.
1078025215,Dur und Moll. Gedichte. 1898.
1078025215,Ebbe u. Flut. Nov. 1888.
1078025215,Ellinor. Nov. 1893.
1078025215,Feldblumenstrauss. Gedichte. 1884.
1078025215,Frühlingstraum. Nov. 1886
1078025215,Glück? Nov. 1897.
1078025215,Herzenstreue. Nov. 1892.
1078025215,Irrlicht. Nov. 1887.
1078025215,Schneerosen. Nov. 1897.
1078025215,Seelenkämpfe. Nov. 1898. U. d. Presse.
1078025215,Sternschnuppe. Nov. 1886.
1078025215,Welke Blumen. Nov. 1895.
1078025215,Wie es kam. Nov. 1888.
116432195,"Bilder u. Klänge. Gedichte. 16. (152) Kassel 1871, Freischmidt. 1.50, geb. 2.50"
116432195,"Daheim u. draussen. Erzählgn. f. junge Mädchen. 2. Aufl. 8. (III, 209) Stuttgart 1895, C. Krabbe. geb. n 3."
116432195,"Die Sitten der guten Gesellschaft Ein Ratgeber f. das Leben in u. ausser dem Hause. 8. (393 m. Illustr.) Stuttgart 1886, Engelhorn. geb. n 5.50, m. Goldschn. n 6."
116432195,"Die Stellung der deutschen Lehrerinnen. 8. (32) Berlin 1870, Lüderitz' Verlag. n .50"
116432195,"Echter Adel. Eine Erzählg. in Briefen, ihren jungen Freundinnen gewidmet. 8. (228) Stuttgart 1887, Union. geb. n 4."
116432195,"Ein Blick ins Leben. Mitgabe für die heranwachsende weibliche Iugend. 1. Aufl. 1877, 2. Aufl. 8. (335) Stuttgart 1892, Bonz & Co. geb. 4.50"
116432195,"Lectures choisies des demoiselles. Tome I. A Paris. Trois histoires, arrangées par M. C. 8. (87) Kassel 1880, Kay. Tome II. Tableaux de famille. Trois morceaux, arrangés par M. C. (125). Tome III. Nouvelles historiques. Trois histoires, arrangées par M. C. (111) à n 1."
116432195,"Leo. Rom. 3 Bde. 8. (900) Berlin 1876, Ianke. n 16."
116432195,"Weibliches Wirken in Küche, Wohnzimmer u. Salon. 3. Aufl. 12. (182) (1874) 1879, 1882, Staude. geb. m. Goldschn. n 4."
116432195,"Wilde Blumen. Zwei Nov. 8. (332) Früh. Norden, Hinricus Fischer Nachf., jetzt Dresden, Gerh. Kühtmann. 4., geb. 5."
133925242,"Dasselbe. 3. Aufl. 12. (283) Chur 1884, Kellenberger. nn 2.50"
140950125,Geschichte der deutschen Litteratur.
140950125,Lehrbuch für Hygiene u. Krankenpflege.
140950125,Lehrbuch der Technologie.
140950125,Lehrbuch der Haushaltungskunde.
140514856,"Gedichte. 16. (88) Brandenburg 1854, Müller. 2."
118666967,"Eritis sicut Deus. Rom. 3 Bde. 2. Aufl. 12. (1601) Hamburg 1855, Agentur des Rauhen Hauses. 12."
118666967,"Giebt es einen lebendigen Gott? 1. Bd. 8. (303) Mannheim 1896, Dr. Haas'sche Verlag. n 3.50"
118666967,Dasselbe. 2. Bd. 8. (244) Ebda. 1897. n 3.
118638904,"Ein Gebet. 2. Aufl. 8. (80) Berlin 1883, A. Duncker. n 2.; geb. n 3."
118638904,Dasselbe 3. Aufl. 1887. Ebda. 4. Aufl. 1897 n 2.; geb. n 3.
118638904,"Es klopft. 4. Aufl. 8. (117) Regensburg 1890, Wunderling. n 3.; geb. m. Goldschn. nn 4."
118638904,"Frauenmut. 6 Theaterstücke. 8. (292) Bonn 1890, Strauss Verlag. n 6.; geb. n 7."
118638904,"Hammerstein. (Als Msk. gedr.) 8. (104) Leipzig, Bukarest, Sotschek & Co. bar n 2."
118638904,"Handwerkerlieder. 12. (144) Bonn 1891, E. Strauss Verlag. n 3.; geb. in Leinw. m. Goldschn. n 4."
118638904,"Handzeichngn. 8. (274) Berlin 1884, A. Duncker. n 5.; geb. n 6."
118638904,"Heimat. Gedichte. 12. (83) Bonn 1891, E. Strauss Verlag. n 2 ; geb. in Leinw. m. Goldschn. n 3."
118638904,"Iehova. 2. Aufl. 8. (77) Leipzig 1883, Bonn, Strauss. n 2.50; geb. n 4., in Ldr. n 5."
118638904,Islandfischer. Von P. Loti. Übers. v. S. C. 4. Aufl. 8. (333) Ebda. 1895. n 5.; geb. in Leinw. n 6.
118638904,"Leidens Erdengang. Ein Märchenkreis. 4. Aufl. 12. (163) (1882) 1890. Berlin, A. Duncker. n 4.; geb. in Leinw. nn 5."
118638904,Dasselbe. Illustr. v. E. M. Elias. Neue Ausg. 4. (73) Ebda. 1892. geb. in Leinw. m. Goldschn. 7.50
118638904,"Lieder a. d. Dimbovitzathal . Aus dem Volksmunde gesammelt von H. Vacaresco, deutsch Ton S. C. 8. (414) Bonn 1889, Strauss Verlag. n 6.; geb. in Leinw. m. Goldschn. n 7.50; in Pergament n 10."
118638904,Meerlieder. 12. (121) Ebda. 1891. n 2.; geb. in Leinw. m. Goldschn. n 3.
118638904,"Mein Rhein! Dichtgn. Illustr. v. E. Doepler d. I. Nebst 20 photograph. Rheinausichten. 4. Aufl. 4. (64 m. Randeinfassgn.) Leipzig 1891, A. Titze. geb. m. Goldschn. n 10."
118638904,Meine Ruh'. 8. (447) Berlin 1884. A. Duncker. n 7.50; geb. n 10.
118638904,Dasselbe. 2. Aufl. 4 Bdchn. 8. Ebda. 1885. n 10.; geb. n 14.
118638904,"Meister Manole. Trauersp. 8. (110) Bonn 1892, E. Strauss Verlag. n. 2.; geb. n 3."
118638904,Pelesch. Im Dienst. Ein sehr langes Märchen für den Prinzen Heinrich XXXII. von Reuss. 12. (103 in Blaudr. m. farb. Grund.) Ebda. 1888. geb. m. G. n 3.
118638904,Pelesch-Märchen. A. u. d. T.: Aus Carmen Sylvas Königreich. 2. Aufl. 8. (224 m. 3 Illustr.) Ebda. 1883. n 5.; Einbd. nn 1.
118638904,Dasselbe. 3. Aufl. (295) Ebda. 1886. n 5.; geb. n 6.
118638904,"Rumänische Dichtungen. Herausg. v. M. Kremnitz. 12. (24) Leipzig 1881, Friedrich. n 4.; geb. n 5."
118638904,"Sappho. (Als Msk. gedr.) 8. (73) Leipzig, Bukarest, Sotschek & Co. bar n 1.60"
118638904,"Stürme. 3. Aufl. (1. Aufl. 1881) 8. (195) Bonn 1889, Strauss. n 5.; geb. n 6."
118638904,Vom Amboss. 2. Aufl. 12. (122) Ebda. 1890. n 3.; geb. m. G. n 4.
1055234748,"Friedrich Wilhelm Dörpfeld. Aus seinem Lehen u. Wirken. Von seiner Tochter. 8. (664 mit Bildnis.) Gütersloh 1897, C. Bertelsmann. n 5.40, geb. n 6."
117648779,Welche soziale Bedeutung hat die Beteiligung der Frauenarbeit im Gartenbau? Vortrag. 1897.
117648779,"Zwei Vorträge über Obstu. Gartenbau, ein Erwerbszweig für gebildete Frauen. (22) Ebda. 1895."
118668838,"Die Frauenbewegung. Revue für die Interessen der Frauen. 4. Iahrgang 18951898. Iährlich 24 Nummern. Berlin, F. Dümmler. Ieder Iahrgang 4."
118668838,"Die Frau im 19. Iahrhundert. 8. (148) Berlin 1897, S. Cronbach. 1.50; geb. 2."
118668838,"Die Frauen in den Vereinigten Staaten v. Nordamerika. 8. (28) Berlin 1893, R. Lesser Nachfolger. n .60"
118668838,"Nationale u. humanistische Erziehg. Von K. v. Kalckstein, M. C. u. A. Eulenburg. 8. (48) Kiel 1891, Lipsius & Tischer. n 1."
118668838,"Rede, geh. in der Generalversammlg. der deutschen akademischen Vereingg. Oktober 1889. 8. (35) Berlin 1891, Oehmigkes Verlag. n .30"
104063203,"Oliver v. d. Mühl. Erzählg. 8. (385) Basel 1881, Schneider. n 3.60, geb. n 4.80"
116507713,"Aphorismen. Blütenstrauss v. Lehrsätzen u. Sinnsprüchen. 12. (253) Mainz 1888, F. Kirchheim. n 3., geb. in Leinw. m. Goldschn. n 4."
116507713,"Die Sternguckerin. Rom. 12. (528) Amberg 1883, Habbel. 2.70, geb. n 4."
116507713,"Eine Gebirgsreise. Oberammergau u. die Königsschlösser. 8. (136) Mainz 1892, F. Kirchheim. 1.50"
116507713,Oriental. Tageblätter. Nach der Natur u. Wirklichkeit skizziert. 8. (380) Ebda. 1888. n 5.
116507713,"Taschenbüchlein d. guten Tones. Prakt. Anl. üb. d. Formen d. Anstandes f. weibl. Iugend. 6. Aufl. 16 (196) Ebda. 1889. geb. n 1.50, m. Goldschn. n 2."
116507713,Verworfen u. Berufen Eine Erzählg. a. d. Gegenwart. Ebda. 1877. 1.50
116507713,Würde des öffentl. Vortrags. 1875.
119549263,"Das Nelkenbeet. Erzählg. 12. (ca. 16) Berlin 1897, Verlag des christlichen Zeitschriftenvereins. .05"
119549263,Der Kanarienvogel. Erzählg. 12. (16) Ebda. 1897. .05
126207720,"Neues System des Zuschneidens der Damenkleider auf Grundlage des Dreiecks. Ins Deutsche übertr. 4. (28 m. H.) Leipzig 1880, Hoffmann & Ohnstein. 1.50"
1012535169,"Magdalena Steffens. Eine Erzählg. f. d. Volk. 16. (148) Basel 1879, Spittler. n .80"
1012535169,Nach der goldnen Stadt. Erzählg. 8. (102.) Ebda. 1893. 1.
1012535169,"Siebengestirne. Der Matrose u. sein Findling. 8. (99) Leipzig 1895, Akademische Buchhandlung. 1."
1012535169,"Simon der Iude od. lange ersehnt, endlich gefunden. 4 Erzählgn. 12. (150) Norden 1882, Soltau. .50"
11654340X,"Der silberne Kreuzbund. Erzählg. f. junge Mädchen. 8. (278 m. Bildern) Stuttgart 1897, G. Weise. geb. 3. u. 4.50"
11654340X,"Frühlingsblüten. Eine Gabe f. d. junge Mädchenwelt. Mit Beiträgen von Helene Binder. Martha Eitner, Osk. Freystein etc. 2 Tle. 4. (351 m. Illustr.) Nürnberg 1897, Th. Stroefer. geb. in 1 Bd. 7.50"
11654340X,"Prinzess Ilse. Erzählg. f. erwachsene Mädchen. 8. (279 m. Illustr.) Stuttgart 1897, G. Weise. geb. 4.50 u. 6."
1215213433,"St. Alderich. 16. (10) Heiligenstadt 1897, F. W. Cordier. .20"
126219516,"Bilderbuch in Versen. 12. (144) Paderborn 1894, F. Schöningh. n 1.60; geb. m. Goldschn. n 2.60"
