identifier,surname,prename,name_complete,place_of_birth,place_of_death,date_of_birth,date_of_death,biography,bibliography,alternative_names,alternative_biography,alternative_bibliography,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18,Sprache,Sprache_2,Sprache_3,Sprache_4,Sprache_5,Sprache_6,Sprache_7,Sprache_8
116659076,Heine,Anselm,Heine Anselm,Bonn,Berlin,1855-06-18,1930-11-09,"Heine, Anselm, Biographie s. Selma Heine.","‒ Drei Novellen. 8. (314) Berlin 1896, Gebr. Paetel. n 5.–; geb. bar n 6.50 ‒ Unterwegs. Nov. 8. (314) Ebda. 1897. n 5.–; geb. bar n 6.50",Heine Selma;Helm Feodor;.;.,"Ps. Anselm Heine und Feodor Helm, Halle a. d. S., Luisenstrasse 1, ist am 18. Juni 1855 in Bonn a. Rh. geboren. Seit 1891 ist sie schriftstellerisch thätig. Rodenberg und Karl Emil Franzos haben ihre ersten Novellen veröffentlicht. Später sind von Gebrüder Paetel mehrere Novellenbände verlegt worden. Ein Drama »Treue« aus ihrer Feder wurde in der »Litterarischen Gesellschaft« in Leipzig mit grossem Erfolg aufgeführt. Werke s. Anselm Heine.;Biographie s. Selma Heine.;.",.,Bonn,Halle,Rodenberg,Leipzig,Hall,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1202637256,Heinrich,Johanne ChristJane,Heinrich Johanne ChristJane,Dahme/Mark,Breslau,1799,1881,"Heinrich, Johanne Christiane. Vollständiges Handbuch für Küche u. Haus. 4. Aufl. 8. (344 m. Abbildgn.) Dresden 1858, G. Dietze. kart. 2.70",.,.,.,.,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116666765,Heinrichs,Frau Emilie,Heinrichs Emilie,.,.,1823,1901,"Heinrichs, Frau Emilie, geb. Schmidt, Ps. E. v. Linden, Braunschweig, Karlsstrasse 4, geboren den 1. März 1823 in Schleswig, lebte von 1845–1850 teils in Hamburg, teils in Altona und trat 1848 in Altona mit politischen Gedichten für Schleswig-Holsteins BefreJung ein. Nach ihrer Vermählung 1850 siedelte sie nach Hannover über. Sie führte in Hannover ein heiteres, friedund freudevolles Familienleben, bis sie die politischen Verhältnisse von 1866 veranlassten, Hannover wieder zu verlassen. Sie vertauschte daher 1872 ihren langjährigen Wohnort mit Altona und siedelte 1878 nach Braunschweig über.","‒ Auf der Menschheit Höhen. Rom. 8. (288) Berlin 1868, Janke. 4.50 ‒ Bettler u. Millionär. Rom. 8. (248) Berlin 1867, Sacco Nachfolger. 3.– ‒ Bruderzwist. Histor. Rom. 1862. ‒ Der Kommerzienrat. Rom. 8. (308) Hannover 1865, Wedekind. 4.50 ‒ Der Erbe v. Grundhoff. Rom. 8. (288) Berlin 1868, Janke. 4.50",Heinrichs Emilie;Linden Emilie;.;.,"Der Maskenball od. Die Hexe der Neustadt. Rom. 8. (480) Hannover 1860, Wedekind. 4.50;s. Karoline Grohe.;.","‒ Der Stadtschreiber v. Osnabrück. Histor. Erzählg. aus dem 13. Iahrh. 2. Aufl. 8. (124) Osnabrück 1887, Pillmeyer. –.75 ‒ Dunkle Tage. Rom. 2 Bde. 2. Aufl. 8. (672) Hannover 1865, Wedekind. 7.50 ‒ Ein deutscher Held. Lustsp. 1859. ‒ Ein deutscher Kaiser. Histor. Rom. 16. (268) Berlin 1863, Sacco Nachf. –.90 ‒ Eine Räuberfamilie. Erzählg. 8. (352) Ebda. 1867. 3.– ‒ Friedrich Wildt. Erzählg. 16. (127) Ebda. 1865. à 1.50 ‒ Gold u. Ehre. Rom. 2. Aufl. 1859. ‒ Hannovera. 1861. ‒ Henning Brabandt, der braunschweiger Bürgerhauptmann. Rom. 2 Bde. 2. Ausg. 8. (576) Hannover 1864, Wedekind. 4.50 ‒ Im Irrenhause. Rom. 8. (276) Hamburg 1873, Richter. n 3.– ‒ Kaleidoskop. Nov., Erzählgn. u. Gedichte. 2. Bd. 8. (692) Hannover 1855, Schulze. 2.50 ‒ Leibrenten. Rom. 2 Bde. 8. (524) Hannover 1866, Wedekind. 7.50 ‒ Norddeutsches Familienbuch. 2. Bd. 4. (456) Hannover 1856, Hamburg, Würger. n 5.50 ‒ Novellen. 2 Bde. 8. (596) Hannover 1871, Schulze. 8.–;‒ Der Prairie-Vogel. Eine Erzählg. a. d. Wildnissen d. westl. Amerika. 8. (222 m. 4 Chromol.) Reutlingen 1884, Ensslin & Laiblin. 3.– ‒ Till Eulenspiegel. 2. Aufl. 8. (64) Oberhausen 1884, Spaarmann. –.25;.;.",Hamburg,Hannover,Schleswig,Braunschweig,Altona,Rom,Hannover,Rom,Neustadt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116674415,Heinze,Frau Anna,Heinze Anna,.,.,1858-05-02,1905-03-07,"Heinze, Frau Anna, geb. Voigt, Dresden-Blasewitz, Weststrasse 2, am 2. Mai 1858 zu Rothenburg O.-L. als Tochter des dortigen Oberpfarrers August Voigt geboren, erhielt sie ihre Ausbildung in einem Pensionat zu Grünberg in Schlesien, kehrte 1874 ins elterliche Haus zurück und siedelte 1879 mit ihrem inzwischen emeritierten Vater nach Niesky über. Nach dessen im Jahre 1883 erfolgtem Tode lebte sie mit ihrer Mutter in Plauen bei Dresden und vermählte sich 1892 mit dem Dichter und Schriftsteller Paul Heinze, dem Begründer und ehemaligen Herausgeber des »Deutschen Dichterheim« in Dresden-Striesen. Seit dem im Jahre 1893 erfolgten Rücktritte Heinzes von der Redaktion des genannten Blattes lebt das Ehepaar in seiner Villa in Blasewitz bei Dresden, Als Dichterin trat Anna Heinze zuerst mit lyrischen Beiträgen im Organe ihres nunmehrigen Gatten hervor, ward später Mitarbeiterin zahlreicher anderer Blätter, in denen sie dann auch ihre Novellen veröffentlichte. u. Paul Heinze. Aus Dur u. Moll. Gedichte. 8. (302) Leipzig 1897, Breitkopf & Härtel. 3.50; geb. 4.50",‒ Weihnachtsengels Erdenfahrt. Komposition v. F. Witzmann. 1892.,.,.,.,Plauen,Grünberg,Leipzig,Niesky,Striesen,Blasewitz,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116676892,Heisterbergk,Konstanze,Heisterbergk Konstanze,Pirna,Dresden,1840-11-25,1914-11-09,"Heisterbergk, Konstanze, Biographie s. Freifrau v. Malapert-Neufville. Werke s. auch Konstanze Hoch.","‒ Ein tapferes Herz. Oberösterreich. Dorfgeschichte. 16. (92) 1. Aufl. 1880, 2. Aufl. 1882. Dresden, Pierson. geb. 2.50 ‒ Ein Wort an Frauen über die Frau. 1. Aufl. 1874. 2. Aufl. 8. (325) Gotha 1883, F. A. Perthes. geb. n 4– ‒ Kommunion-Buch f. Konfirmanden u. junge Christen. 12. (80) Leipzig 1893, H. G. Wallmann. geb. m. Goldschn. n 1.–",Hoch Marie Konstanze;Malapert Konstanze Marie;Philomusos;.,"Biographie s. Freifrau Marie von Malapert-Neufville. Werke s. auch Constanze Heisterbergk.;geb. Hoch, genannt von Neufville, Ps. Konstanze Heisterbergk, Konstanze Hoch und Philomusos, Wiesbaden, Gustav-Adolfstrasse 5, am 25. November 1840 als Tochter des königl. Bezirksarztes Dr. Hoch zu Pirna geboren, verlebte sie eine glückliche Kindheit. An der Schwelle der Jugendjahre verlor sie ihre Mutter plötzlich am Herzschlag. Das nun häufigere Zusammensein mit ihrem Vater, einem hochgebildeten Mann, regte den Wunsch einer akademischen Bildung in ihr an und sie machte ihr Staatsexamen. Die litterarische Frucht ihrer Studien war ihr Erstlingswerk: »Die Vorbereitung des Heils in Israel und unter den Heiden,« und zwar unter der Ägide des berühmten Leipziger Professors der Theologie, Dr. Luthardt Kurz. Nachher starb ihr Vater. Ihr Staatsexamen setzte sie in den Stand, sich eine selbständige Thätigkeit zu gründen und im Oktober 1862 eröffnete sie in Dresden eine Lehrund Erziehungsanstalt für Töchter höherer Stände. Längere Krankheit zwang sie zur völligen Aufgabe ihrer Lehrthätigkeit. Es war ein schwerer Entschluss, denn diese Thätigkeit war ihr Lebenselement und derjenige Beruf, auf den ihre Begabung sie zumeist hinwies. Ostern 1882 legte sie die Leitung ihrer Anstalt in andere Hände und zog sich ins Privatleben zurück. Doch hielt sie während mehrerer Winter noch Vorträge über Kunst und Litteratur in ihrem Hause. Inzwischen machte sie wiederholt Reisen nach England, Frankreich und Italien und sah auch ausserdem einen grossen Teil Europas. Während dieser Zeit war sie schriftstellerisch thätig und schrieb eine grosse Zahl Feuilletons, Reiseskizzen, volkswirtschaftlicher Artikel und Novelletten. Eine grössere, sehr ernste Arbeit hatte sie schon während ihrer Lehrthätigkeit vollendet und zwar war jene angeregt worden durch die Emanzipationsgelüste der siebziger Iahre. Im Gegensatz hierzu stand ihr »Wort an Frauen über die Frau«. In den folgenden Iahren entstanden fast nur novellistische Arbeiten. Einen Teil ihrer Reiseskizzen, und zwar die während eines Aufenthaltes in Schottland, welche sie für mehrere deutsche Blätter schrieb, liess sie unter dem Titel »Schottische Landschaftsbilder in Verbindung mit Geschichte und Sage«, Pseudonym Philomusos, im Iahre 1883 in Buchform erscheinen. Ein Exemplar derselben ward der Königin von England überreicht, die gleichzeitig ihr »schottisches Tagebuch« herausgegeben. Noch eine Arbeit ernster Natur entstand in den letzten Iahren, das »Kommunionbuch für Konfirmanden und junge Christen«. Nach ihrer Verheiratung suchte sie im Berufe der Gattin und Hausfrau Bethätigung ihrer Kräfte. Damit war ihr aber das Feld litterarischer Thätigkeit entzogen; nur einzelne kurze Abhandlungen über Musik, Litteratur und Sprachforschung, sowie eine Anzahl Gedichte – meist nur unter Chiffre oder unter Pseudonym – sind in den letzten Iahren in Blättern Werke s. Konstanze Heisterbergk, Konstanze Hoch und Philomusos.;Biographie s. Freifrau Marie Konstanze von Malapert.;.","‒ Maria u. Magdalena. Rom. 8. (173) Leipzig 1895, E. Ungleich. n 2.–; geb. n 2.80 ‒ Vorbereitung des Heils in Israel u. unter d. Heiden. (Erschien ohne Namen.) Leipzig 1868, Dörffling & Franke. –.80;.;‒ Schottische Landschaftsbilder in Verbindung von Geschichte und Sage. 8. (93) Dresden 1883, Warnatz & Lehmann. nn 1.25;.",Konstanz,Konstanz,Wiesbaden,Pirna,Leipzig,Konstanz,Dresden,Konstanz,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100844979,Heiter,Amalie,Heiter Amalie,Dresden,Pillnitz,1794-08-10,1870-09-18,"Heiter, Amalie, s. Amalie Prinzessin von Sachsen.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1038681502,Held-Marbach,Klara,Held-Marbach Klara,Breslau,.,1824,1893,"Held-Marbach, Klara, geboren den 24. November 1824 in Breslau, gestorben den 17. November 1893.","‒ Leidvoll u. freudvoll. Gedichte. 16. (176) Breslau 1876, Max & Co. n 2.–; geb. n 3.–",Marbach Klara;.;.,s. Klara Held-Marbach.,.,Breslau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Englisch,Französisch,.,.,.,.,.,.
116849096,Heller,Marie,Heller Marie,.,.,1807,1882,"Heller, Marie, Berlin W., Schaperstrasse 2/3.",.,.,.,.,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1058565532,Hellinghaus,Frl. Ida,Hellinghaus Ida,.,.,1856,1930,"Hellinghaus, Frl. Ida, Münster i. W., Schützenstrasse 55, geboren in Drolshagen am 6. Oktober 1856, ist sie Lehrerin an der katholischen Töchterschule in Münster. Sie macht Übersetzungen aus dem Englischen und Französischen.",.,.,.,.,Münster,Drolshagen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117326305,Hellmuth,Martha,Hellmuth Martha,Berlin,.,1854-02-08,.,"Hellmuth, Martha, Biographie s. Martha Schlesinger.","‒ Gedichte. 8. (153) Berlin 1882, A. Duncker. 3.–; geb. m. Goldschn. n 4.– ‒ Lieder des Pagen Cherubin. Illustr. v. Fritz Wichgraf. 8. (160) Ebda. 1883, geb. 4.– ‒ Wieland der Schmied. Zwei grosse deutsche Volkssagen u. zahlreiche lyrische u. epische Gedichte. Berlin 1883, Stuttgart, Union. 3.–; geb. 4.50",Schlesinger Martha;.;.,"Ps. Martha Hellmuth, Berlin, Kurfürstendamm 254 I, am 8. Februar 1854 in Berlin als Tochter des Kaufmanns Simon Avellis geboren, ist sie mit dem Bankier Emil Schlesinger verheiratet. Sie hat schon mit 14 Iahren lyrische Gedichte geschrieben, später wandte sie sich mehr epischen Stoffen zu. Im Iahre 1882 erschienen im Verlage von Alexander Duncker ihre ersten lyrischen und epischen Gedichte. Im Iahre 1889 erschien »Wieland der Schmied« bei F. & P. Lehmann. Zahlreiche Gedichte, Novellen und Skizzen sind in Zeitschriften verstreut und grössere epische Dichtungen, wie: »Dina«, ein biblisches Gedicht, »Das Märchen von den sieben Raben und der treuen Schwester«, »Merlin, der Sohn des Teufels«, »Der fliegende Holländer«, »Fortunat mit dem Glücksseckel«, »Das Märchen vom König Drosselbart«, »Ruth«, u.a., ein biblisches Gedicht und andere befinden sich in Vorbereitung. Werke s. Martha Hellmuth.",.,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
123234514,Helmers,Edith,Helmers Edith,Olmütz,Wien,1843-03-10,1921-09-11,"Helmers, Edith, Biographie s. Marie v. Stoffella d'alta Rupe",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1125390883,Helmine,.,Helmine,Rostock,.,1857,1940,Helmine s. Wilh. Christ. von Chézy. Band I. und Nachtrag.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102780242,Helms,Anna,Helms Anna,Frankfurt-Oberrad,.,1848-06-28,.,"Helms, Anna, s. Gräfin Anna Zech.","‒ Der goldene Chersones. Übers. nach Bird. 1884. ‒ Der Krieg zwischen Russland und der Türkei, nach Behr. Berlin 1878, E. Bock. ‒ Eine Segelfahrt um die Welt. Nach Brassey. 6 Aufl. (1879) 1883, Leipzig, F. Hirt & Sohn. ‒ Heinz Treuaug, wie er ein Ritter ward und wie er den Freimut geschwungen hat, d. reif. Jugend geschildert. 8. (228 m. H.) Ebda. 1881. 4.50; geb. 6.– ‒ Im Lande der Mitternachtsonne. Übers. nach Paul B. du Chaillu. 2. Aufl. 1882 ‒ Seefahrten und Wanderungen vom Hyde-Park zum goldenen Horn. 1881.",Helms Anna;Zech Anna;.;.,"Helms, Anna. Sonnenschein und Sturm im Osten. Nach Brassey. 1881,;geb. Helms, Weimar. Sie begleitete ihren Gatten nach Ceylon und als derselbe als stellvertretender Generaldirektor nach Deutsch-Neu-Guinea berufen wurde, auch dorthin, später nach Deutsch-Ostafrika, wo er 1896 starb, seine Gattin als grenzenlos unglückliche, gebrochene Frau zurücklassend, die nur noch durch ihr einziges Kind, ein Mädchen, Halt am Leben findet. Sie lebt gegenwärtig in Weimar. Die unter ihrem Mädchennamen Anna Helms veröffentlichten Werke hatte sie vor ihrer Verheiratung geschrieben. Nach derselben hat Gräfin A. Z. bloss einige kleine Berichte in Zeitungen veröffentlicht. Werke s. Anna Helms.;.",‒ Tisdel: Kongo-Berichte. 5. Aufl. Frohberg. ‒ Vierzigtausend Meilen durch die Tropen und den Passat.,Weimar,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
119006189,Heman,Felicia,Heman Felicia,Liverpool,Dublin,1793,1835,"Heman, Felicia. Das Erwachen der jüd. Nation. 8. (114) Basel 1897, P. Kober. 1.–",.,.,.,.,Basel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1059890852,Hempel,Frl. Thekla,Hempel Thekla,.,.,1840,.,"Hempel, Frl. Thekla, geboren am 4. Juli 1840 in Rünzheim, Sachsen-Altenburg, schrieb Jugendschriften, Novellen, Skizzen und lebte seit 1888 in Leipzig-Reudnitz. Sie starb daselbst den 15. November 1896.","‒ An Kindes Statt. 16. (24) Stuttgart 1896, Buchhandlung der Evangelischen Gesellschaft. –.10 ‒ Der Frauen Beruf. Erzählgn. 8. (246) Stuttgart 1891, Greiner & Pfeiffer. geb. n 3.– ‒ Der Herr unser Halt. Erzählgn. 8. (297) Ebda. 1891. geb. 3.– ‒ Nach drei Jahren. 8. (42) Gera 1884, Litterarisches Institut von R. Hahn. –.30 ‒ Was aus der bösen Grete geworden ist. Die zerbrochene Fensterscheibe. 16. (24) Stuttgart 1895, Buchhandlung der Evangelischen Gesellschaft. –.10",.,.,.,Reudnitz,Altenburg,Rünzheim,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1050402502,Henkel,Friederike,Henkel Friederike,Berlin,Weimar,1826-12-25,1910,"Henkel, Friederike, Weimar, Parkstrasse, geboren den 25. Dezember 1826 in Berlin.","‒ Aus Langeweile. Rom. 2 Bde. 8. (376) Stuttgart 1870, Hallberger. n 6.– ‒ Der Liebe Licht u. Schatten. Rom. 2. Aufl. 8. (205) Ebda. 1880. n 3.– ‒ Die Herrin von Ibigstein. Rom. 2 Bde. 8. (461) Ebda. 1879. n 6.– ‒ Die Stiefschwestern. Rom. 8. (196) Breslau 1880, Schottländer. n 3.50 ‒ Sommermärchen. 8. (187 m. 4 Chromol.) Neu-Ruppin 1869, Oehmigke. ‒ Wenn Frauen hassen. Rom. 2 Bde. 8. (407) Stuttgart 1880, Hallberger. n 6.–",.,.,.,Berlin,Weimar,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11671011X,Henle,Elise,Henle Elise,München,Frankfurt am Main,1832-08-10,1892-08-18,"Henle, Elise, s. Elise Levi.","‒ Aus Goethes lustigen Tagen. Orig. Lustsp. 16. (79) Leipzig 1892, Ph. Reclam jr. –.20 ‒ Backfischchens Theaterfreuden. Lustsp. 12. (124) Stuttgart 1887, Levy & Müller. geb. n 2.50 ‒ Der Erbonkel. Lustsp. 16. (94) Leipzig 1887, P. Reclam jr. bar n –.20 ‒ Der 18. Oktober. Schausp. 1871. ‒ Die Wiener in Stuttgart. Lustsp. 8. (134) Stuttgart 1879, Levi. n 1.– ‒ Durch die Intendanz. Preislustsp. 16. (83) Leipzig 1891, Ph. Reclam jr. –.20 ‒ Ein Duell. Lustsp. 1869.",Henle Elise;Henle Elise;Levi Elise;.,"Entehrt. Orig. Schausp. Bühnenbearbeitg. 16. (101) Leipzig 1891, Ph. Reclam jr. à –.20;Das Blumenkörbchen. Schausp. in 2 Aufz. 8. (58) Ravensburg 1896, O. Maier. –.80 Ergänzg. z. Elise Henle. Band I.;geb. Henle, geboren den 10. August 1832 in München, gestorben den 18. August 1892 in Frankfurt a. M. Werke s. Elise Henle.;.","‒ Guat is's. Kochrezepte in oberbayer. Mundart. 8. (68) München 1888, Braun & Schneider. geb. n 1.50 ‒ Rosa v. Tannenburg. – Der Ring. – Das Johanniskäferchen. 3 Schausp. für die Jugend. (Nach C. v. Schmidt für die Bühne bearb.) 2. Aufl. 8. (72) Ravensburg 1894, O. Maier. 1.– ‒ So mag i's. Kochrezepte in schwäb. Mundart. 8.(79) München 1892, Braun & Schneider. geb. 1.50 ‒ Was soll ich deklamieren? Eine Auslese der besten Deklamationsstücke ernsten u. heiteren Inhalts. 5. Aufl. 8. (327 m. 1 Portr.-Taf.) Stuttgart 1895, Schwabacher. n 3.–; geb. m. Goldschn. 4.50 ‒ Wer will französisch lernen? Eine Gabe für unsere Kleinen. 12. (62 m. Illustr.) Ebda. 1893. geb. n 1.80 ‒ Zeitgemäss. Trauersp. Exzentrisch. Lustsp. Ruhebedürftig. Schwank. 8. (116) Leipzig 1891, B. Elischer Nachfolger. n 3.–;.;.",Leipzig,Ravensburg,Frankfurt a. M.,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1208512609,Hennig,Frau Eugenie,Hennig Eugenie,.,.,.,.,"Hennig, Frau Eugenie, Ps. E. Rebe, Berlin, Hohenstaufenstrasse 71 I. Werke s. E. Rebe.",.,.,.,.,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Englisch,.,.,.,.,.,.,.
116716045,Hennig,Frau Sophie,Hennig Sophie,.,.,1855,.,"Hennig, Frau Sophie, früher Riesa a. Elbe, geboren am 10. Februar 1855 in Laufenburg, Kanton Aargau, Schweiz.","‒ Arbeit adelt. Schausp. ‒ Die Kinder des Volkes. Volksstück. ‒ Die Rose von Schlesien. Schausp. ‒ Die vier Jahreszeiten. Festsp. ‒ Die Weihnachtsfee. Festsp. ‒ Dornröschen, Rotkäppchen, Drosselbart, Schäferröschen, Schneewittchen. Kinderkomödien. ‒ Mein ist die Rache. Schausp.",.,.,.,Riesa,Laufenburg,Ries,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1049486617,Henrich,Albertine,Henrich Albertine,.,.,1811,.,"Henrich, Albertine, geb. Röslin, Ps. Paul Stein, geboren 1806.","‒ Albrecht von Brandenburg. ‒ Die verlorne Tochter. Nach dem Engl. bearb. 16. (32 m. 1 Bild) Hamburg 1893, I. G. Oncken. –.15 ‒ Laura, die Sozialistenbraut, od.: die soziale Frage praktisch gelöst. 2. Aufl. 8. (156) Ebda. 1891. –.75 ‒ Wie können wir die deutsche Jugend in Amerika für Haus und Kirche erhalten. 16. (59 m. H.) New-York 1876 (Philadelphia, Schäfer & K.). n 1.–",Henrich Albertine;.;.,s. auch Band I. Weitere Werke s. auch Paul Stein. Band II.,"‒ Der schöne Sepp. Eine Selbstbiographie Miss Marchall Saunders. Übersetzg. aus dem Engl. 8. (340 m. Abbildgn. u. Bildnis) Hamburg 1895, I. G. Oncken Nachfolger. 2.–; geb. 3.– ‒ Die Wallfahrt nach Zionsthal. 2. Aufl. 16. (236) Hamburg 1871, Oncken. 1.–;.;.",Stein,Stein,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117381292,Henrich-Wilhelmi,Frau Hedwig,Henrich-Wilhelmi Hedwig,Mainz,Wiesbaden,1833-03-17,1913-02-08,"Henrich-Wilhelmi, Frau Hedwig, zur Zeit Degerloch bei Stuttgart, wurde als einzige Tochter des verstorbenen praktischen Arztes Dr. Henrich und der unter dem Pseudonym Paul Stein schriftstellernden Romanund Novellen-Dichterin Albertine Henrich, in Mainz geboren und erregte bereits in der frühesten Jugend grosse Hoffnungen hinsichtlich ihrer aussergewöhnlichen Die Werke können auch von der Verfasserin bezogen werden.","‒ Brigitte. Schausp. in 3 Akten u. e. Vorsp. Hannover, Theater-Agentur Edm. May. ‒ Das Recht der Frauen zum Studium u. ihre Befähigg. f. alle Berufsarten. 8. (40) Berlin 1894, W. Rubenow. –.50 ‒ Der Begriff der Gotteslästerung. Vortrag. Bericht üb. Verhaftg., Steckbrief u. Verürteilg. v. Frau Henrich-Wilhelmi. 8. (24) Ebda. 1891. bar –.15 ‒ Der freie Wille. Vortrag. 8. (15) Reichenberg 1894, I. Beranek. n –.15 ‒ Eine Sünderin. Drama in fünf Akten. 12. (78) Leipzig, Ernst Wiest Nachfolger. 4.– ‒ Gesammelte Vorträge. Milwaukee 1889, Freidenker Publishing Cie. ‒ Ist Religion Privatsache? Vortrag. 8. (15) Berlin 1894, W. Rubenow. n –.20 ‒ Leibliches u. geistiges Proletariat. 12. (15) Leipzig, Ernst Wiest Nachfolger. ‒ Physischer u. sittlicher Mut. 12. (15) Leipzig, E. Wiest Nachfolger. –.10 ‒ Tod u. Feuerbestattung. Vortrag. 8 (13) Stuttgart, Metzlers Sortiment, nn –.35",.,.,.,Mainz,Stein,Stuttgart,Rom,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1240876300,Henrion,Hermine,Henrion Hermine,Arnswalde,.,1838-04-04,.,"Henrion, Hermine, geb. v. Stutterheim, Ps. Hedwig Braun, Berlin Körnerstrasse 4 III, geboren am 4. April 1838 in Arnswalde, als die 3. Tochter des Steuerinspektors Carl Freiherrn v. Stutterheim. Erst als Frau, als Mutter zweier Töchter, denen sie garnicht genug Märchen erzählen konnte, kam sie auf den Gedanken, ihre eigene Phantasie walten zu lassen. Auf diese Weise entstanden eine grosse Anzahl Märchen, welche in 14 kleinen und einem grossen Bande bei Julius Bagel in Mühlheim a. d. Ruhr erschienen sind. Inzwischen Werke s. Hedwig Braun.",.,.,.,.,Berlin,Mühlheim a. d. Ruhr,Arnswalde,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
138912580,Henschke,Frau Ulrike,Henschke Ulrike,.,Baden-Baden,1830-11-24,1897-11-01,"Henschke, Frau Ulrike, geb. Benas, Ps. Clara Ulrici, Berlin W., Genthinerstrasse 18, ist geboren in Krotoschin am 24. November 1830. Sie ist die Witwe des Senatspräsidenten Henschke in Berlin und hat hervorragende Verdienste auf dem Gebiete der Erziehung der weiblichen Jugend, ist eine der leitenden Persönlichkeiten des Viktoria-Lyceums und die Schöpferin der Viktoria-Fortbildungsschule in Berlin; sie hat ihre Feder zumeist den Frauenunterrichtsfragen dienstbar gemacht und ist Verfasserin von »Bedeutung des Vereinslebens für die Frauen (1866); G. v. Stein (1868); zur Frauenunterrichtsfrage in Preussen (1870)«. (Gestorben am 1. November 1897 in Baden-Baden.)","‒ Denkschrift über das weibliche Fortbildungsschulwesen in Deutschland. 4. (60 m. Tab. u. Bildnis.) Berlin 1893, A. W. Hayns Erben. kart. 2.40. ‒ Die Bedeutung des Vereinslebens für die Frauen. 8. (23) Lissa 1866, Scheibel –.50 ‒ Eduard Cauer. Gedächtnisrede. 8 (24) Berlin 1883, Springer. n –.60 ‒ Gertrud v. Stein. Erzählg. 1868. O. Janke. ‒ Lehrbuch f. weibl. Fortbildungsschulen. Gera 1898, Hofmann. ‒ Miss Archer. Gedächtnisrede. 8. (32) Berlin 1884, Springer. n –.60 ‒ Zur Frauenunterrichtsfrage in Preussen. 1870, Lüderitz'sche Verlagsbuchhandlg.",.,.,.,Stein,Baden-Baden,Krotoschin,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116721049,Hensel,Wilhelmine,Hensel Wilhelmine,.,.,1802,1893,"Hensel, Wilhelmine (Minna), Schwester der Dichterin Luise Hensel, geboren den 11. September 1802 zu Linum in der Mark Brandenburg, gestorben am 4. Dezember 1893 in Charlottenburg. u. Luise. Gedichte. 16. (154) Berlin 1858, Rauh. 2.–","‒ Die drei Kränze. Festsp. 8. (7) Berlin 1854, Schlesingers Buchhandlung. –.35 ‒ Gedichte. 16. (272) Paderborn 1882, F. Schöningh. n 2.25; geb. n 3.50",.,.,.,Charlottenburg,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
